ccode,year,lnAIDS,lnAIDSlag,warlag,popden,refsin
404,1997,0.809596002,,0,0.039396215,4
404,1998,0.865207911,0.809596002,0,0.04074249,5
404,1999,0.917889416,0.865207911,0,0.042088766,5
404,2000,0.975314081,0.917889416,0,0.042779617,6
404,2001,1.029619455,0.975314081,0,0.043470465,7
411,1997,0.187309071,,0,0.017052555,0
411,1998,-0.154900923,0.187309071,0,0.017499169,0
411,1999,-0.67924422,-0.154900923,0,0.017945783,0
411,2000,0.66962266,-0.67924422,0,0.018514201,0
411,2001,1.223775506,0.66962266,0,0.019082621,0
420,1997,0.808705449,,0,0.116741814,8
420,1998,0.741222799,0.808705449,0,0.12158525,13
420,1999,0.668854475,0.741222799,0,0.126428694,25
420,2000,0.574363649,0.668854475,0,0.129973888,15
420,2001,0.470003635,0.574363649,0,0.133519083,15
432,1997,0.511025608,,0,0.009188741,17
432,1998,0.613833427,0.511025608,0,0.008987037,5
432,1999,0.707050145,0.613833427,0,0.008785333,7
432,2000,0.622724771,0.707050145,0,0.009065878,7
432,2001,0.530628264,0.622724771,0,0.009346423,9
433,1997,0.573236883,,0,0.041467402,41
433,1998,0.572108865,0.573236883,0,0.042624533,30
433,1999,0.570979536,0.572108865,0,0.043781664,42
433,2000,0.126632646,0.570979536,0,0.044754222,41
433,2001,-0.693147182,0.126632646,0,0.04572678,43
434,1997,0.724161208,,0,0.049290966,3
434,1998,0.813150048,0.724161208,0,0.050260413,3
434,1999,0.894862771,0.813150048,0,0.051229861,3
434,2000,1.106415033,0.894862771,0,0.053388495,4
434,2001,1.280933857,1.106415033,0,0.055547129,5
435,1997,-0.657780051,,0,0.002338557,0
435,1998,-0.651046038,-0.657780051,0,0.002441211,20
435,1999,-0.644357085,-0.651046038,0,0.002543865,25
435,2000,0.150572777,-0.644357085,0,0.002614745,25
435,2001,0.587786615,0.150572777,0,0.002685625,25
436,1997,0.374318391,,0,0.008279318,7
436,1998,0.338256299,0.374318391,0,0.008544073,3
436,1999,0.300845027,0.338256299,0,0.008808829,2
436,2000,0.984136224,0.300845027,0,0.009152673,1
436,2001,1.386294365,0.984136224,0,0.009496517,1
437,1997,2.308865309,,0,0.045604493,202
437,1998,2.342911005,2.308865309,0,0.045977622,128
437,1999,2.375835657,2.342911005,0,0.046350747,140
437,2000,2.325324535,2.375835657,0,0.049244881,94
437,2001,2.272125959,2.325324535,0,0.05213901,103
439,1997,1.96948719,,0,0.040094431,2
439,1998,1.917437196,1.96948719,0,0.041081697,0
439,1999,1.862528563,1.917437196,0,0.042068958,0
439,2000,1.867176175,1.862528563,0,0.04247218,0
439,2001,1.871802211,1.867176175,0,0.042875402,0
450,1997,1.295274973,,0,0.027097207,100
450,1998,1.17108798,1.295274973,0,0.029700384,120
450,1999,1.029262185,1.17108798,0,0.032303561,0
450,2000,1.774867535,1.029262185,0,0.033220716,70
450,2001,2.197224617,1.774867535,0,0.034137867,60
451,1997,1.15246892,,0,0.06408298,15
451,1998,1.123955011,1.15246892,0,0.066203162,10
451,1999,1.094604254,1.123955011,1,0.068323344,7
451,2000,1.608237147,1.094604254,1,0.067353711,3
451,2001,1.945910096,1.608237147,0,0.06638407,15
452,1997,0.866680205,,0,0.077863075,20
452,1998,1.094604254,0.866680205,0,0.080752477,15
452,1999,1.280100107,1.094604254,0,0.083641879,12
452,2000,1.193467855,1.280100107,0,0.083716184,13
452,2001,1.098612309,1.193467855,0,0.083790489,12
461,1997,2.142181635,,0,0.071596101,12
461,1998,1.980725646,2.142181635,0,0.073237985,11
461,1999,1.788086057,1.980725646,0,0.07487987,10
461,2000,1.789924502,1.788086057,0,0.076057382,11
461,2001,1.791759491,1.789924502,0,0.077234894,11
471,1997,1.587192297,,0,0.030101102,1
471,1998,1.842214942,1.587192297,0,0.030929385,1
471,1999,2.045238256,1.842214942,0,0.031757668,10
471,2000,2.278855801,2.045238256,0,0.032296538,45
471,2001,2.468099594,2.278855801,0,0.032835405,32
475,1997,1.415853143,,0,0.130305052,9
475,1998,1.523444295,1.415853143,0,0.125145435,5
475,1999,1.620575666,1.523444295,0,0.119985804,7
475,2000,1.691570878,1.620575666,0,0.124352828,10
475,2001,1.757857919,1.691570878,0,0.128719851,7
481,1997,1.44597733,,0,0.004445463,1
481,1998,1.435560465,1.44597733,0,0.004558749,0
481,1999,1.425034165,1.435560465,0,0.004672034,15
481,2000,1.883882761,1.425034165,0,0.004800945,15
481,2001,2.197224617,1.883882761,0,0.004929855,20
482,1997,2.376485825,,0,0.005407734,38
482,1998,2.50976181,2.376485825,0,0.005513799,47
482,1999,2.627346039,2.50976181,0,0.005619864,55
482,2000,2.59290123,2.627346039,0,0.009249031,54
482,2001,2.557227373,2.59290123,0,0.012878197,49
483,1997,1.001366854,,0,0.005283752,0
483,1998,0.995286703,1.001366854,0,0.005583338,10
483,1999,0.989169359,0.995286703,0,0.005882923,20
483,2000,2.053418398,0.989169359,0,0.004432296,20
483,2001,2.557227373,2.053418398,1,0.002981669,15
484,1997,2.052070379,,0,0.008339199,21
