namici,term,civlibs
0,53,1
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
1,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,1
0,53,1
0,53,1
0,53,1
0,53,1
0,53,0
0,53,1
0,53,0
0,53,0
1,53,0
0,53,1
0,53,1
0,53,1
0,53,0
0,53,0
3,53,0
0,53,1
0,53,0
0,53,0
0,53,1
0,53,0
0,53,0
0,53,0
2,53,1
0,53,1
0,53,1
0,53,1
0,53,1
0,53,1
0,53,0
0,53,1
0,53,1
0,53,0
0,53,1
0,53,0
1,53,0
0,53,0
0,53,1
0,53,0
0,53,0
1,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,1
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,1
0,53,0
0,53,0
1,53,0
0,53,1
0,53,1
0,53,0
1,53,0
0,53,1
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
3,53,0
0,53,1
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,1
0,53,1
0,53,1
0,53,1
3,53,1
0,53,1
6,53,1
1,53,1
4,53,1
0,53,0
0,53,0
0,53,0
0,53,0
0,53,1
0,53,0
0,53,1
0,53,0
0,53,0
0,53,1
0,53,1
0,53,0
0,53,0
0,53,0
0,53,0
3,53,0
0,53,0
0,53,0
0,53,1
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,53,0
0,54,0
0,54,1
0,54,1
0,54,0
0,54,0
0,54,1
0,54,0
2,54,0
0,54,0
0,54,1
3,54,0
0,54,1
0,54,1
0,54,0
0,54,1
0,54,1
0,54,1
0,54,0
0,54,1
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
1,54,0
0,54,0
0,54,0
3,54,0
0,54,0
1,54,0
1,54,0
0,54,0
0,54,0
0,54,0
0,54,1
0,54,1
0,54,1
0,54,1
0,54,1
0,54,1
0,54,0
0,54,0
0,54,0
2,54,0
5,54,0
6,54,0
0,54,0
0,54,1
1,54,0
0,54,1
0,54,1
0,54,0
0,54,1
0,54,1
0,54,1
0,54,0
0,54,1
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,1
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,0
0,54,1
1,54,1
0,54,0
0,54,1
1,54,0
0,54,0
0,54,0
0,54,0
1,54,0
0,54,0
0,54,1
1,54,1
0,54,1
0,54,0
0,54,0
0,54,0
2,54,0
0,54,1
0,54,1
0,54,1
0,54,1
8,54,1
0,54,1
0,54,1
0,54,0
3,54,1
0,54,0
1,54,0
0,54,1
0,54,0
0,54,0
2,54,0
1,54,0
0,54,1
0,54,0
0,54,0
0,55,1
0,55,1
0,55,0
1,55,1
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,1
0,55,1
0,55,1
0,55,0
0,55,0
0,55,1
1,55,0
0,55,1
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,1
0,55,1
0,55,0
0,55,1
0,55,0
0,55,0
0,55,0
1,55,0
0,55,0
0,55,0
0,55,0
0,55,0
1,55,0
1,55,0
0,55,0
0,55,0
0,55,0
0,55,1
0,55,1
0,55,1
0,55,1
1,55,0
0,55,1
0,55,0
0,55,1
0,55,1
1,55,1
0,55,0
0,55,0
2,55,0
0,55,0
0,55,0
0,55,0
0,55,0
6,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
1,55,1
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,1
0,55,0
0,55,0
0,55,0
1,55,1
0,55,1
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
0,55,0
1,55,0
0,55,0
0,55,1
0,55,0
0,55,0
0,55,0
3,55,1
0,55,1
1,55,0
0,55,0
1,55,0
0,55,0
0,55,1
0,55,0
0,55,1
0,55,1
14,55,0
0,55,0
2,55,0
3,55,0
0,55,0
3,55,0
0,55,0
