idno,year,approval,partyid,perfin,nateco,age,educ,class,nonwhite,female
1,1990,1,1,-1,-2,49,3,4,0,1
1,1991,2,2,-1,-2,50,3,4,0,1
1,1992,1,2,-1,-1,51,3,4,0,1
2,1990,-1,2,-1,-2,18,2,4,1,1
2,1991,-1,1,-1,-2,19,2,4,1,1
2,1992,-1,1,-1,-2,20,2,4,1,1
3,1990,1,-1,-2,-1,26,3,1,0,1
3,1991,2,0,0,-2,27,3,1,0,1
3,1992,-1,1,-1,-1,28,3,1,0,1
4,1990,-1,0,-1,-2,30,3,1,0,0
4,1991,-1,0,-1,-2,31,3,1,0,0
4,1992,-2,0,-1,-1,32,3,1,0,0
5,1990,1,-2,0,-1,69,3,6,0,1
5,1991,2,-2,0,-1,70,3,6,0,1
5,1992,2,-3,-1,0,71,3,6,0,1
6,1990,1,-2,-1,0,19,4,4,0,0
6,1991,2,-2,0,-1,20,4,4,0,0
6,1992,-2,0,0,0,21,4,4,0,0
7,1990,1,2,1,0,36,5,1,0,1
7,1991,1,2,1,0,37,5,1,0,1
7,1992,1,2,1,-1,38,5,1,0,1
8,1990,2,-1,-1,-2,66,4,4,0,0
8,1991,-2,-1,-1,-1,67,4,4,0,0
8,1992,2,0,-1,0,68,4,4,0,0
9,1990,-2,-1,0,0,76,3,4,0,1
9,1991,1,-1,0,0,77,3,4,0,1
9,1992,2,-1,0,1,78,3,4,0,1
10,1990,-1,3,0,-1,35,6,4,0,0
10,1991,1,2,1,0,36,6,4,0,0
10,1992,-2,3,0,-2,37,6,4,0,0
11,1990,2,1,0,0,32,2,1,1,1
11,1991,2,1,0,-1,33,2,1,1,1
11,1992,-2,3,0,-2,34,2,1,1,1
12,1990,1,1,-2,-2,38,7,4,0,1
12,1991,2,2,-1,-2,39,7,4,0,1
12,1992,-2,2,-1,-1,40,7,4,0,1
13,1990,1,1,2,-1,48,3,6,0,1
13,1991,-2,1,1,-1,49,3,6,0,1
13,1992,-1,1,-1,-1,50,3,6,0,1
14,1990,1,-1,-1,0,64,3,6,0,1
14,1991,2,2,0,-1,65,3,6,0,1
14,1992,1,-1,1,0,66,3,6,0,1
15,1990,2,2,1,-1,37,4,1,0,1
15,1991,2,2,2,1,38,4,1,0,1
15,1992,1,2,1,-2,39,4,1,0,1
16,1990,1,2,-1,-1,62,3,1,1,1
16,1991,1,1,0,-1,63,3,1,1,1
16,1992,-2,2,0,0,64,3,1,1,1
17,1990,-1,-2,-1,-1,47,2,1,0,1
17,1991,-1,-2,-1,-1,48,2,1,0,1
17,1992,1,-2,-1,-1,49,2,1,0,1
18,1990,2,1,0,-1,47,2,3,0,0
18,1991,2,-2,-1,-1,48,2,3,0,0
18,1992,1,0,1,-1,49,2,3,0,0
19,1990,1,0,-2,-2,31,6,3,0,0
19,1991,2,1,-1,-2,32,6,3,0,0
19,1992,-2,1,1,-1,33,6,3,0,0
20,1990,-2,3,0,-2,77,1,1,0,1
20,1991,-2,3,-1,-1,78,1,1,0,1
20,1992,-2,3,-1,-2,79,1,1,0,1
21,1990,-1,-2,1,-1,64,3,6,0,0
21,1991,1,-2,1,-1,65,3,6,0,0
21,1992,-1,-2,1,-1,66,3,6,0,0
22,1990,1,-3,0,-1,74,2,1,0,0
22,1991,2,-3,-1,0,75,2,1,0,0
22,1992,2,-2,0,0,76,2,1,0,0
23,1990,1,-1,0,-1,77,3,4,0,1
23,1991,2,-1,0,-1,78,3,4,0,1
23,1992,1,-3,0,-1,79,3,4,0,1
24,1990,1,-2,-1,-1,38,4,1,0,1
24,1991,2,-1,1,0,39,4,1,0,1
24,1992,-1,1,-1,-2,40,4,1,0,1
25,1990,1,2,0,0,71,2,1,0,1
25,1991,1,3,0,-1,72,2,1,0,1
25,1992,-2,3,0,-2,73,2,1,0,1
26,1990,2,3,2,1,54,1,1,1,0
26,1991,2,3,2,1,55,1,1,1,0
26,1992,-2,3,-1,-2,56,1,1,1,0
27,1990,-2,3,-2,-2,33,3,4,0,0
27,1991,-2,3,-1,-2,34,3,4,0,0
27,1992,-2,3,0,-2,35,3,4,0,0
28,1990,2,2,0,-1,75,5,4,0,1
28,1991,2,3,1,-1,76,5,4,0,1
28,1992,2,-3,1,-1,77,5,4,0,1
29,1990,-1,2,-1,-2,45,3,4,0,1
29,1991,1,2,-1,-2,46,3,4,0,1
29,1992,-2,2,0,-2,47,3,4,0,1
30,1990,-1,1,1,-1,19,3,1,0,1
30,1991,1,0,1,-1,20,3,1,0,1
30,1992,-2,1,-1,-2,21,3,1,0,1
31,1990,2,1,-2,0,18,3,1,0,0
31,1991,2,-1,1,-1,19,3,1,0,0
31,1992,-2,0,0,0,20,3,1,0,0
32,1990,-1,3,1,0,53,3,1,0,1
32,1991,2,3,0,0,54,3,1,0,1
32,1992,1,3,-2,0,55,3,1,0,1
33,1990,1,-3,0,-1,34,3,1,0,1
33,1991,1,-3,1,0,35,3,1,0,1
33,1992,1,-3,0,0,36,3,1,0,1
34,1990,-1,2,0,-1,75,3,4,0,1
34,1991,-1,1,0,0,76,3,4,0,1
34,1992,-2,1,0,0,77,3,4,0,1
35,1990,2,1,2,-1,24,4,4,0,1
35,1991,2,-1,1,0,25,4,4,0,1
35,1992,2,-2,-1,-2,26,4,4,0,1
36,1990,-1,3,0,-1,74,3,4,0,1
36,1991,1,2,0,-1,75,3,4,0,1
36,1992,-2,3,0,-1,76,3,4,0,1
37,1990,1,2,1,-2,47,7,6,1,0
37,1991,1,1,1,-2,48,7,6,1,0
37,1992,-1,2,1,-2,49,7,6,1,0
38,1990,1,3,0,-2,47,2,1,1,1
38,1991,2,3,-1,-1,48,2,1,1,1
38,1992,-2,3,-1,-1,49,2,1,1,1
39,1990,-2,3,1,-1,66,6,4,0,1
39,1991,-2,2,1,-1,67,6,4,0,1
39,1992,-2,3,-1,-1,68,6,4,0,1
40,1990,1,1,1,-1,34,3,1,0,1
40,1991,1,2,0,0,35,3,1,0,1
40,1992,-2,1,1,-1,36,3,1,0,1
41,1990,2,2,-1,-2,38,5,1,0,1
41,1991,2,2,-1,-2,39,5,1,0,1
41,1992,1,1,-1,-2,40,5,1,0,1
42,1990,1,2,-2,0,27,6,1,0,1
42,1991,2,2,-1,-2,28,6,1,0,1
42,1992,-1,1,0,-1,29,6,1,0,1
43,1990,-1,3,1,0,19,4,4,0,0
43,1991,1,2,1,0,20,4,4,0,0
43,1992,-1,2,1,0,21,4,4,0,0
44,1990,-2,2,-2,-1,28,4,1,0,0
44,1991,-2,1,-1,-2,29,4,1,0,0
44,1992,-2,2,-2,0,30,4,1,0,0
45,1990,-1,3,-1,-1,71,2,1,1,1
45,1991,-1,3,-1,-1,72,2,1,1,1
45,1992,-1,1,-1,-1,73,2,1,1,1
46,1990,1,-3,1,0,27,6,3,0,0
46,1991,2,-2,-1,-2,28,6,3,0,0
46,1992,1,-2,1,-2,29,6,3,0,0
47,1990,1,0,0,0,30,3,4,0,0
47,1991,1,0,1,-1,31,3,4,0,0
47,1992,1,0,-1,-1,32,3,4,0,0
48,1990,1,-2,0,-1,31,3,1,0,0
48,1991,1,-2,-1,-1,32,3,1,0,0
48,1992,1,-2,-1,0,33,3,1,0,0
49,1990,2,-2,-2,-2,62,2,4,0,1
49,1991,-1,-1,-2,-2,63,2,4,0,1
49,1992,-2,1,-2,-2,64,2,4,0,1
50,1990,-1,3,1,-1,81,2,4,0,0
50,1991,-1,3,-1,-1,82,2,4,0,0
50,1992,-2,3,-1,-1,83,2,4,0,0
51,1990,1,-1,0,0,68,5,4,0,1
51,1991,2,-3,0,-1,69,5,4,0,1
51,1992,2,-1,-1,-1,70,5,4,0,1
52,1990,1,-3,-1,-1,58,3,1,0,0
52,1991,2,-2,-1,-1,59,3,1,0,0
52,1992,2,-2,-1,-1,60,3,1,0,0
53,1990,-2,3,-2,-2,38,7,4,0,1
53,1991,-2,3,-2,-1,39,7,4,0,1
53,1992,-2,3,-2,-2,40,7,4,0,1
