"","ccode","Year","POLITY","GDP","Monarch","lnDemons"
"1",2,1945,10,NA,NA,NA
"2",2,1946,10,NA,0,0
"3",2,1947,10,NA,0,1.09861228866811
"4",2,1948,10,NA,0,0.693147180559945
"5",2,1949,10,NA,0,1.38629436111989
"6",2,1950,10,12843.6158687226,0,0
"7",2,1951,10,13422.8087382158,0,1.38629436111989
"8",2,1952,10,13646.0525622507,0,0.693147180559945
"9",2,1953,10,14056.8117836719,0,1.09861228866811
"10",2,1954,10,13762.9730545732,0,0.693147180559945
"11",2,1955,10,14588.6334451792,0,1.09861228866811
"12",2,1956,10,14634.8474985871,0,1.6094379124341
"13",2,1957,10,14671.3327616263,0,1.09861228866811
"14",2,1958,10,14306.1147115843,0,0.693147180559945
"15",2,1959,10,15106.7984702528,0,1.09861228866811
"16",2,1960,10,15254.0912684009,0,3.13549421592915
"17",2,1961,10,15354.155787202,0,1.38629436111989
"18",2,1962,10,16064.2749005623,0,2.07944154167984
"19",2,1963,10,16534.5291099389,0,4.11087386417331
"20",2,1964,10,17281.1938108635,0,2.484906649788
"21",2,1965,10,18230.5348265819,0,2.63905732961526
"22",2,1966,10,19200.1360631289,0,2.63905732961526
"23",2,1967,10,19462.7303313579,0,3.36729582998647
"24",2,1968,10,20241.8922317329,0,3.63758615972639
"25",2,1969,10,20725.8762845966,0,3.43398720448515
"26",2,1970,10,20547.3345139348,0,3.04452243772342
"27",2,1971,10,21105.1302986962,0,1.09861228866811
"28",2,1972,10,22128.7890031599,0,1.09861228866811
"29",2,1973,10,23256.876525518,0,1.38629436111989
"30",2,1974,10,22608.8022683795,0,0
"31",2,1975,10,22293.5811303594,0,2.19722457733622
"32",2,1976,10,23389.2915661857,0,0
"33",2,1977,10,24224.4648591427,0,1.79175946922805
"34",2,1978,10,25387.897230256,0,2.56494935746154
"35",2,1979,10,25826.7452458818,0,2.07944154167984
"36",2,1980,10,25096.3124116175,0,0
"37",2,1981,10,25563.1896020554,0,1.38629436111989
"38",2,1982,10,24784.8384991047,0,0.693147180559945
"39",2,1983,10,25795.3160594982,0,1.79175946922805
"40",2,1984,10,27629.1261092655,0,1.79175946922805
"41",2,1985,10,28473.453543312,0,0
"42",2,1986,10,29073.2776499636,0,0
"43",2,1987,10,29592.711870589,0,0
"44",2,1988,10,30493.6420808661,0,0
"45",2,1989,10,31289.3741572664,0,0
"46",2,1990,10,31439.2409225422,0,1.38629436111989
"47",2,1991,10,31070.5001662579,0,1.6094379124341
"48",2,1992,10,31892.9809639242,0,1.38629436111989
"49",2,1993,10,32642.2504320786,0,0
"50",2,1994,10,33806.5111118584,0,0
"51",2,1995,10,34337.9628371067,0,0
"52",2,1996,10,35365.5541149952,0,1.38629436111989
"53",2,1997,10,36728.1848879932,0,0
"54",2,1998,10,38155.0452890611,0,1.09861228866811
"55",2,1999,10,39573.0569738929,0,0.693147180559945
"56",2,2000,10,40689.4022792723,0,0
"57",2,2001,10,40697.4590815493,0,0
"58",2,2002,10,40987.5385879946,0,1.09861228866811
"59",2,2003,10,41573.3458404216,0,0.693147180559945
"60",2,2004,10,42641.3791705672,0,1.79175946922805
"61",2,2005,10,43411.1548300436,0,1.38629436111989
"62",2,2006,10,44157.8368756482,0,0.693147180559945
"63",2,2007,10,44558.0978399955,0,1.38629436111989
"64",2,2008,10,43380.7461815188,0,1.38629436111989
"65",2,2009,10,41779.2766038366,0,1.09861228866811
"66",2,2010,10,42371.2115268847,0,0.693147180559945
"67",2,2011,10,42733.8191262716,0,3.91202300542815
"68",2,2012,10,NA,0,3.46573590279973
"69",2,2013,10,NA,0,3.78418963391826
"70",2,2014,10,NA,NA,3.93182563272433
"71",20,1945,10,NA,NA,NA
"72",20,1946,10,NA,0,0
"73",20,1947,10,NA,0,0
"74",20,1948,10,NA,0,0
"75",20,1949,10,NA,0,0
"76",20,1950,10,9756.05641683653,0,0
"77",20,1951,10,9890.94438503287,0,0.693147180559945
"78",20,1952,10,10477.9076318991,0,0
"79",20,1953,10,10721.2633145093,0,0
"80",20,1954,10,10342.210086875,0,0
"81",20,1955,10,11047.9238398176,0,0
"82",20,1956,10,11720.0710327267,0,0
"83",20,1957,10,11537.811841246,0,0
"84",20,1958,10,11439.7113230235,0,0.693147180559945
"85",20,1959,10,11694.1004135096,0,0
"86",20,1960,10,11806.6071822156,0,0
"87",20,1961,10,11980.0021401019,0,0
"88",20,1962,10,12495.9058505732,0,0
"89",20,1963,10,12872.5804917493,0,0
"90",20,1964,10,13516.163891439,0,0
"91",20,1965,10,14177.1200661859,0,0
"92",20,1966,10,14830.5254923411,0,0.693147180559945
"93",20,1967,10,14984.0391497944,0,0
"94",20,1968,10,15430.1857339716,0,0
"95",20,1969,10,15989.7535428006,0,0.693147180559945
"96",20,1970,10,16128.9008007835,0,0.693147180559945
"97",20,1971,10,16705.9506411136,0,0.693147180559945
"98",20,1972,10,17479.1524421834,0,0
"99",20,1973,10,18755.9643245781,0,0
"100",20,1974,10,19616.5462462457,0,0
"101",20,1975,10,19565.9268026925,0,0
"102",20,1976,10,20551.5096670708,0,0
"103",20,1977,10,20771.2128001631,0,0
"104",20,1978,10,21143.5449124005,0,0
"105",20,1979,10,21998.0577008253,0,0
"106",20,1980,10,22205.1251909089,0,0
"107",20,1981,10,22541.800719092,0,0
"108",20,1982,10,21452.3501654758,0,0.693147180559945
"109",20,1983,10,22060.953142346,0,1.09861228866811
"110",20,1984,10,23279.9741257049,0,0
"111",20,1985,10,24265.1393892903,0,0
"112",20,1986,10,24516.1135581088,0,0
"113",20,1987,10,25662.3914404091,0,0
"114",20,1988,10,26921.6599925518,0,0
"115",20,1989,10,27574.7084792123,0,0
"116",20,1990,10,27105.2293189228,0,1.09861228866811
"117",20,1991,10,26058.0409939139,0,0
"118",20,1992,10,25943.6622675514,0,0
"119",20,1993,10,26296.1382491725,0,0
"120",20,1994,10,27542.6977363464,0,0
"121",20,1995,10,28557.0395451629,0,0
"122",20,1996,10,28935.5208002969,0,0.693147180559945
"123",20,1997,10,30025.5857222196,0,0
"124",20,1998,10,30447.1957402365,0,0
"125",20,1999,10,32048.6661602788,0,0
"126",20,2000,10,33679.2548039259,0,0.693147180559945
"127",20,2001,10,33247.7848523517,0,0
"128",20,2002,10,33125.5688025153,0,0
"129",20,2003,10,33796.1594076947,0,0.693147180559945
"130",20,2004,10,34755.595055724,0,0
"131",20,2005,10,35655.368904149,0,0
"132",20,2006,10,35821.2819684995,0,0.693147180559945
"133",20,2007,10,35984.0185989565,0,0
"134",20,2008,10,35855.2163148089,0,0
"135",20,2009,10,33201.6072956179,0,0
"136",20,2010,10,34623.2498945441,0,0
"137",20,2011,10,35607.3837450208,0,0
"138",20,2012,10,NA,0,2.19722457733622
"139",20,2013,10,NA,0,0
"140",20,2014,10,NA,NA,0
"141",40,1945,3,NA,NA,NA
"142",40,1946,3,NA,0,0
"143",40,1947,3,NA,0,0
"144",40,1948,3,NA,0,0.693147180559945
"145",40,1949,3,NA,0,0
"146",40,1950,3,NA,0,0
"147",40,1951,3,NA,0,0
"148",40,1952,0,NA,0,1.09861228866811
"149",40,1953,-3,NA,0,0
"150",40,1954,-6,NA,0,0
"151",40,1955,-9,NA,0,0
"152",40,1956,-9,NA,0,0
"153",40,1957,-9,NA,0,1.09861228866811
"154",40,1958,-9,NA,0,0.693147180559945
"155",40,1959,0,NA,0,0
"156",40,1960,-4,NA,0,1.38629436111989
"157",40,1961,-7,NA,0,1.09861228866811
"158",40,1962,-7,NA,0,1.09861228866811
"159",40,1963,-7,NA,0,0
"160",40,1964,-7,NA,0,0
"161",40,1965,-7,NA,0,0
"162",40,1966,-7,NA,0,0
"163",40,1967,-7,NA,0,0
"164",40,1968,-7,NA,0,0
"165",40,1969,-7,NA,0,0
"166",40,1970,-7,NA,0,0
"167",40,1971,-7,NA,0,0
"168",40,1972,-7,NA,0,0
"169",40,1973,-7,NA,0,0
"170",40,1974,-7,NA,0,0
"171",40,1975,-7,NA,0,0
"172",40,1976,-7,NA,0,0
"173",40,1977,-7,NA,0,0
"174",40,1978,-7,NA,0,0
"175",40,1979,-7,NA,0,0
"176",40,1980,-7,NA,0,0
"177",40,1981,-7,NA,0,0
"178",40,1982,-7,NA,0,0
"179",40,1983,-7,NA,0,0
"180",40,1984,-7,NA,0,0
"181",40,1985,-7,NA,0,0
"182",40,1986,-7,NA,0,0
"183",40,1987,-7,NA,0,0
"184",40,1988,-7,NA,0,0
"185",40,1989,-7,NA,0,0
"186",40,1990,-7,NA,0,0
"187",40,1991,-7,NA,0,0
"188",40,1992,-7,NA,0,0
"189",40,1993,-7,NA,0,0
"190",40,1994,-7,NA,0,0.693147180559945
"191",40,1995,-7,NA,0,0
"192",40,1996,-7,NA,0,0
"193",40,1997,-7,NA,0,0
