caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
3001,1,6,85,30,0
3002,1,7,100,0,0
3003,1,7,85,30,60
3005,2,6,40,60,60
3006,2,2,30,70,50
3007,2,1,15,70,50
3009,1,6,85,30,0
3011,1,7,85,0,0
3012,1,6,60,30,30
3013,1,5,70,0,15
3014,2,1,40,85,60
3016,1,7,85,50,40
3017,1,2,70,30,30
3018,1,7,85,40,60
3022,2,2,50,100,100
3023,1,2,100,0,0
3024,3,5,70,40,30
3026,2,1,0,85,50
3027,2,1,40,100,70
3028,2,3,30,60,0
3029,1,2,40,40,50
3030,2,1,40,60,30
3031,2,1,20,60,50
3032,2,1,30,70,40
3035,1,5,85,50,0
3037,2,1,50,85,10
3038,1,5,100,50,70
3039,1,7,40,30,60
3040,3,2,30,70,50
3041,1,3,60,40,70
3042,2,1,100,100,60
3043,2,1,50,85,0
3045,2,6,30,50,50
3049,2,3,50,50,15
3050,2,4,50,50,0
3052,3,6,50,40,60
3054,1,7,85,15,40
3056,2,1,30,60,0
3057,2,3,50,100,50
3058,2,3,0,70,0
3061,2,6,40,60,50
3062,3,3,30,40,60
3063,1,5,85,60,50
3065,2,3,30,85,60
3066,3,5,60,60,15
3067,1,6,100,85,100
3068,2,5,40,100,50
3073,1,5,60,15,0
3077,2,2,60,70,15
3079,2,5,50,30,40
3081,1,5,85,30,60
3082,2,1,40,60,0
3083,2,3,30,85,60
3084,2,4,60,70,40
3087,1,6,100,40,15
3089,1,2,70,0,85
3090,2,2,60,70,50
3091,2,1,0,70,40
3092,2,2,50,50,50
3093,3,4,40,60,100
3094,2,1,30,70,100
3095,1,5,70,60,60
3098,3,4,60,15,85
3100,1,5,85,0,50
3102,2,3,40,85,30
3105,2,1,15,85,70
3107,2,2,0,85,50
3108,1,5,85,40,0
3110,1,6,70,30,30
3112,1,4,60,60,50
3113,2,7,60,70,50
3119,2,2,40,98,50
3123,3,6,30,85,0
3125,1,5,85,15,50
3127,2,1,60,70,50
3128,2,2,30,60,70
3129,3,3,68,50,38
3130,1,6,85,50,50
3131,2,3,40,60,30
3132,1,7,70,30,40
3133,1,2,70,50,0
3134,3,3,30,60,70
3135,1,5,75,60,50
3136,2,1,40,60,30
3137,2,1,15,85,30
3138,1,7,85,40,40
3143,1,7,70,15,0
3146,2,3,40,70,85
3147,3,7,50,0,85
3149,2,3,15,70,0
3151,2,5,60,85,0
3153,1,5,100,40,30
3154,2,2,15,85,50
3155,1,6,70,30,0
3156,2,2,60,85,40
3157,1,6,60,40,60
3158,1,6,88,80,80
3159,2,2,50,60,60
3160,2,4,40,60,70
3162,2,1,50,70,50
3163,2,1,60,85,70
3164,2,1,50,85,50
3166,2,1,0,70,50
3167,2,3,40,50,50
3168,2,1,50,50,0
3169,1,7,85,50,15
3172,2,6,85,70,30
3174,2,1,15,60,70
3175,3,3,0,0,100
3177,1,5,70,40,30
3178,2,4,30,85,100
3181,2,3,0,100,15
3183,1,7,100,0,30
3184,2,3,0,60,100
3185,1,7,100,60,60
3186,3,4,0,15,40
3187,2,2,15,60,0
3188,2,1,50,100,0
3189,1,6,60,50,40
3191,1,5,70,60,51
3192,2,2,30,85,60
3195,1,5,30,30,0
3198,2,1,40,70,30
3199,2,1,0,100,15
3200,3,4,70,40,85
3202,3,1,60,70,60
3203,2,1,20,60,50
3204,2,2,0,85,60
3205,2,4,15,60,50
3206,3,6,70,50,0
3209,3,2,15,70,0
3211,2,2,50,85,15
3212,3,2,60,60,85
3213,2,2,15,60,15
3215,2,4,10,30,40
3218,1,6,100,0,0
3220,2,1,0,100,0
3222,1,5,60,40,15
3223,2,3,60,60,50
3225,3,6,60,85,85
3226,2,1,50,50,60
3227,3,2,60,70,60
3229,2,1,70,85,50
3230,1,7,100,50,50
3231,2,2,40,70,60
3232,2,3,0,70,30
3233,3,6,60,60,40
3234,1,5,80,50,20
3235,2,6,40,60,50
3236,2,2,40,70,15
3238,2,1,25,75,50
3240,2,2,30,60,85
3242,1,4,50,50,15
3243,2,2,30,60,50
3245,2,3,15,70,85
3246,2,4,60,70,50
3247,1,6,100,60,70
3250,1,7,85,15,60
3252,3,7,100,50,100
3255,2,1,50,85,60
3257,2,1,30,70,0
3258,3,5,70,60,30
3259,1,6,70,50,15
3261,1,6,60,40,0
3262,3,4,50,50,70
3264,1,7,100,70,50
3265,2,1,30,100,85
3266,1,6,85,50,50
3267,1,6,85,30,30
