country,year,ue,inf,cbi,cwagebrg,GDP_PC,open,uden,lcab,wagexcbi,HasLCAB
1,1955,4.3,1.8,.750044,0,9.182249000000001,.066238,.2964,0,0,1
1,1956,4,3.1,.750044,0,9.181118,.073487,.2931,0,0,1
1,1957,4.1,3.3,.750044,0,9.173988,.076048,.291,0,0,1
1,1958,6.6,1.8,.750044,0,9.145268,.068139,.2699,0,0,1
1,1959,5.3,2.1,.750044,0,9.194108999999999,.06761,.2646,0,0,1
1,1960,5.3,1.5,.750044,0,9.199785,.070134,.2596,0,0,1
1,1961,6.4,1,.750044,0,9.204926,.067962,.2532,0,0,1
1,1962,5.3,1.9,.750044,0,9.245514,.067836,.275,0,0,1
1,1963,5.5,1.5,.750044,0,9.272563999999999,.068093,.2762,0,0,1
1,1964,5,1.7,.750044,0,9.312175,.071014,.2781,0,0,1
1,1965,4.4,2,.750044,0,9.362976,.071057,.282,0,0,1
1,1966,3.6,3.5,.750044,0,9.406236,.074266,.2845,0,0,1
1,1967,3.7,2.9,.750044,0,9.418817000000001,.07338,.2845,0,0,1
1,1968,3.5,5,.750044,0,9.451167,.078152,.2835,0,0,1
1,1969,3.4,5.1,.750044,0,9.47078,.079031,.2783,0,0,1
1,1970,4.8,5.3,.750044,0,9.469854,.084173,.2809,0,0,1
1,1971,5.8,5.3,.750044,0,9.490468999999999,.083781,.2714,0,0,1
1,1972,5.5,4.4,.750044,0,9.528575999999999,.089566,.2688,0,0,1
1,1973,4.8,5.5,.750044,0,9.573524000000001,.106754,.2694,0,0,1
1,1974,5.5,9,.750044,0,9.552369000000001,.144247,.2651,0,0,1
1,1975,8.300000000000001,9.199999999999999,.750044,0,9.523835999999999,.135497,.2598,0,0,1
1,1976,7.6,5.9,.750044,0,9.565985,.141074,.252,0,0,1
1,1977,6.9,5.7,.750044,0,9.604542,.143657,.2391,0,0,1
1,1978,6,7.4,.750044,0,9.644717,.148651,.2329,0,0,1
