country,ISO3,year,HIVDeathRate,CivilWarDummy,OPENLag,GDPGrowthLag,POLITYLag,POLITYSQLag,InterstateWarLag,PolityLag,BatDeaths1000Lag,GDPLagK
Germany East,,1980,,0,,,,,,,,
Germany East,,1981,,0,,,-9,81,0,1,0,
Germany East,,1982,,0,,,-9,81,0,1,0,
Germany East,,1983,,0,,,-9,81,0,1,0,
Germany East,,1984,,0,,,-9,81,0,1,0,
Germany East,,1985,,0,,,-9,81,0,1,0,
Germany East,,1986,,0,,,-9,81,0,1,0,
Germany East,,1987,,0,,,-9,81,0,1,0,
Germany East,,1988,,0,,,-9,81,0,1,0,
Germany East,,1989,,0,,,-9,81,0,1,0,
Germany East,,1990,,0,,,,,0,,0,
Afghanistan,AFG,1978,,1,,,,,,,,
Afghanistan,AFG,1979,,1,,,,,0,,15,
Afghanistan,AFG,1980,,0,,,,,1,,30,
Afghanistan,AFG,1981,,0,26.151327,-.88578159,,,0,,35,.81182301
Afghanistan,AFG,1982,,0,25.930834,11.826458,,,0,,30,.90783286
Afghanistan,AFG,1983,,0,26.264103,9.3636856,,,0,,35,.99283946
Afghanistan,AFG,1984,,0,26.115395,4.4913168,,,0,,55,1.037431
Afghanistan,AFG,1985,,0,26.103422,-1.6025248,,,0,,80,1.020806
Afghanistan,AFG,1986,,0,26.160969,-2.7149251,,,0,,65,.99309188
Afghanistan,AFG,1987,,0,26.126595,2.5548432,,,0,,60,1.0184639
Afghanistan,AFG,1988,,0,26.130327,-10.340528,,,0,,45,.9131493
Afghanistan,AFG,1989,,1,26.139297,-9.633523,,,0,,30,.82518083
Afghanistan,AFG,1990,,1,26.132074,-9.8466692,-8,64,0,2,15,.74392796
Afghanistan,AFG,1991,,1,26.1339,-4.1622639,-8,64,0,2,0,.71296376
Afghanistan,AFG,1992,,1,34.901573,-9.0361166,-8,64,0,2,0,.64853948
Afghanistan,AFG,1993,,1,43.679783,-5.2190576,0,0,0,10,0,.61469185
Afghanistan,AFG,1994,,1,52.468548,-31.918352,0,0,0,10,0,.41849235
Afghanistan,AFG,1995,,1,61.267891,-26.775824,0,0,0,10,10,.30643758
Afghanistan,AFG,1996,,1,70.077835,45.803776,0,0,0,10,5,.44679755
Afghanistan,AFG,1997,,1,78.898384,-6.5404892,-7,49,0,3,5,.41757479
Afghanistan,AFG,1998,,1,87.729568,-6.3936334,-7,49,0,3,3,.39087662
Afghanistan,AFG,1999,,1,96.571411,-6.3782854,-7,49,0,3,7,.36594537
Afghanistan,AFG,2000,,1,105.42392,-6.4767227,-7,49,0,3,0,.34224412
Afghanistan,AFG,2001,,0,114.28712,-4.4965711,-7,49,0,3,0,.32685485
Afghanistan,AFG,2002,,0,113.97309,-3.7751024,,,0,,2.8770001,.31451574
Afghanistan,AFG,2003,,0,93.834763,71.491425,,,0,,0,.53936756
Afghanistan,AFG,2004,,0,135.02885,6.9249029,,,0,,1.2,.57671821
Afghanistan,AFG,2005,,0,113.03931,4.6323481,,,0,,.62099999,.60343385
Afghanistan,AFG,2006,,0,96.466599,9.8195829,,,0,,1.268,.66268855
Afghanistan,AFG,2007,,0,93.999168,4.9979529,,,0,,3.154,.69580936
Afghanistan,,2008,,0,101.10433,8.1434698,,,0,,6.2329998,.7524724
Albania,ALB,1978,,0,,,,,,,,
Albania,ALB,1979,,0,,,,,0,,0,
Albania,ALB,1980,,0,,,,,0,,0,
Albania,ALB,1981,,0,43.57201,1.6575382,-9,81,0,1,0,2.9740603
Albania,ALB,1982,,0,43.214577,3.1621811,-9,81,0,1,0,3.0681055
Albania,ALB,1983,,0,41.144779,.45606795,-9,81,0,1,0,3.0820982
Albania,ALB,1984,,0,41.327076,-.44452134,-9,81,0,1,0,3.0683978
Albania,ALB,1985,,0,44.867779,-2.408824,-9,81,0,1,0,2.9944854
Albania,ALB,1986,,0,43.285027,-.47932994,-9,81,0,1,0,2.9801319
Albania,ALB,1987,,0,44.148911,3.5634828,-9,81,0,1,0,3.0863283
Albania,ALB,1988,,0,44.229874,-2.0626481,-9,81,0,1,0,3.0226681
Albania,ALB,1989,,0,43.202538,-3.3778243,-9,81,0,1,0,2.920568
Albania,ALB,1990,,0,42.429176,7.074286,-9,81,0,1,0,3.1271772
Albania,ALB,1991,,0,27.498194,-10.289289,1,1,0,11,0,2.8054128
Albania,ALB,1992,,0,16.518963,-20.148796,1,1,0,11,0,2.2401559
Albania,ALB,1993,,0,46.157982,-4.5227666,5,25,0,15,0,2.1388388
Albania,ALB,1994,,0,47.558228,4.3856034,5,25,0,15,0,2.2326398
Albania,ALB,1995,,0,38.666607,5.8300567,5,25,0,15,0,2.3628042
Albania,ALB,1996,,0,38.297119,7.6157169,5,25,0,15,0,2.5427485
Albania,ALB,1997,,0,44.511292,10.601759,0,0,0,10,0,2.8123248
Albania,ALB,1998,,0,32.159046,-10.233205,5,25,0,15,0,2.5245337
Albania,ALB,1999,,0,36.968536,10.308166,5,25,0,15,0,2.7847669
Albania,ALB,2000,,0,41.359051,11.891349,5,25,0,15,0,3.1159132
Albania,ALB,2001,,0,52.031887,1.9665203,5,25,0,15,0,3.1771882
Albania,ALB,2002,,0,53.494251,2.6558187,5,25,0,15,0,3.2615685
Albania,ALB,2003,,0,65.110352,1.344327,7,49,0,17,0,3.3054147
Albania,ALB,2004,,0,67.664169,9.601757,7,49,0,17,0,3.6227927
Albania,ALB,2005,,0,66.598938,10.855423,7,49,0,17,0,4.0160618
Albania,ALB,2006,,0,70.07357,5.9229541,9,81,0,19,0,4.2539315
Albania,ALB,2007,,0,72.511246,5.0059481,9,81,0,19,0,4.4668813
Albania,,2008,,0,74.874649,5.8877993,9,81,0,19,0,4.7298822
Algeria,DZA,1978,,0,,,,,,,,
Algeria,DZA,1979,,0,,,,,0,,0,
Algeria,DZA,1980,,0,,,,,0,,0,
Algeria,DZA,1981,,0,90.647156,-3.9980783,-9,81,0,1,0,5.1895537
Algeria,DZA,1982,,0,98.11145,-2.2895665,-9,81,0,1,0,5.0707355
Algeria,DZA,1983,,0,93.939659,4.4195495,-9,81,0,1,0,5.2948389
Algeria,DZA,1984,,0,94.962502,1.762038,-9,81,0,1,0,5.3881359
Algeria,DZA,1985,,0,93.20211,2.5974874,-9,81,0,1,0,5.5280924
Algeria,DZA,1986,,0,94.066391,.20802848,-9,81,0,1,0,5.5395923
Algeria,DZA,1987,,0,80.187042,-.21092574,-9,81,0,1,0,5.5279078
Algeria,DZA,1988,,0,69.994057,-1.0908754,-9,81,0,1,0,5.4676051
Algeria,DZA,1989,,0,71.224075,-2.7561743,-9,81,0,1,0,5.3169084
Algeria,DZA,1990,,0,77.064064,.51190656,-2,4,0,8,0,5.3441257
