id,country,durat,ciep12,fract,polar,format,invest,numst2,eltime2,caretk2
1,1,.5,1,656,11,3,1,0,1,0
2,1,3,1,656,11,2,1,1,0,0
3,1,7,1,656,11,5,1,1,0,0
4,1,20,1,656,11,2,1,1,0,0
5,1,6,1,656,11,3,1,1,0,0
6,1,7,1,634,6,4,1,1,1,0
7,1,2,1,599,3,1,1,1,1,0
8,1,17,1,599,3,3,1,1,0,0
9,1,27,1,599,3,1,1,1,0,0
10,1,49,0,620,2,1,1,1,1,0
11,1,4,1,592,1,2,1,0,1,0
12,1,29,1,592,1,1,1,1,0,0
13,1,49,0,628,5,1,1,1,1,0
14,1,6,1,719,11,4,1,1,1,0
15,1,23,1,719,11,5,1,1,0,0
16,1,41,0,757,18,5,1,1,1,0
17,1,10,1,775,24,3,1,1,1,0
18,1,12,1,775,24,1,1,1,0,0
19,1,2,1,762,24,5,1,0,1,0
20,1,33,1,762,24,1,1,1,0,0
21,1,1,1,762,24,2,1,0,0,1
22,1,16,1,735,17,2,1,1,1,0
23,1,2,1,753,17,1,1,1,0,1
24,1,9,1,850,17,8,1,1,1,0
25,1,3,1,850,17,1,1,1,0,0
26,1,5,1,850,17,2,1,1,0,0
27,1,5,1,850,17,2,1,1,0,0
28,1,6,1,850,17,1,1,1,0,0
29,1,45,0,868,15,4,1,1,1,0
30,1,23,1,857,9,1,1,1,1,0
31,2,41,1,648,1,1,0,0,1,0
32,2,7,1,648,1,1,0,1,0,0
33,2,49,0,428,0,1,0,1,1,0
34,2,46,1,536,0,1,0,1,1,0
35,2,9,1,650,0,1,0,0,1,0
36,2,51,0,349,0,1,0,1,1,0
37,2,10,1,648,0,1,0,0,1,0
38,2,32,1,622,0,1,0,0,1,0
39,2,28,1,614,0,1,0,0,1,0
40,2,3,1,614,0,1,0,0,1,0
41,2,53,0,571,0,1,0,1,1,0
42,2,17,1,648,0,1,0,0,1,0
43,2,59,0,583,0,1,0,1,1,0
44,2,9,1,602,0,1,0,0,1,0
45,2,52,0,582,0,1,0,1,1,0
46,2,3,1,582,0,1,0,1,0,0
47,3,23,1,777,12,3,0,0,1,0
48,3,33,1,719,6,1,0,0,1,0
49,3,1,1,749,5,5,0,0,1,0
50,3,30,1,749,5,1,0,0,0,0
51,3,5,1,740,5,1,0,0,1,0
52,3,16,1,725,5,3,0,0,1,0
53,3,27,1,725,5,1,0,0,0,0
54,3,33,1,735,3,1,0,1,1,0
55,3,9,1,735,3,1,0,1,0,0
56,3,22,1,722,6,1,0,0,1,0
57,3,25,1,722,6,1,0,0,0,0
58,3,25,1,715,6,8,0,0,1,0
59,3,14,1,748,11,4,0,0,1,0
60,3,44,0,764,9,1,0,1,1,0
61,3,12,1,746,10,2,0,0,1,0
62,3,14,1,746,10,1,0,0,0,0
63,3,13,1,855,26,4,0,0,1,0
64,3,24,1,815,25,4,0,0,1,0
65,3,18,1,811,26,2,0,0,1,0
66,3,13,1,811,26,1,0,0,0,0
67,3,29,1,791,21,1,0,0,1,0
68,3,8,1,817,21,2,0,0,1,0
69,3,16,1,817,24,2,0,0,0,0
