dyadid,year,start,stop,futime,dispute,allies,contig,trade,growth,democracy,capratio
2020,1951,0,1,35,0,1,1,.0144,.0085,1,.2001
2020,1980,0,1,35,0,1,1,.0288,.0046,1,.1098
2020,1976,0,1,35,0,1,1,.0278,.0001,1,.1203
2020,1977,1,2,35,0,1,1,.029,.018,1,.1185
2020,1981,1,2,35,0,1,1,.0284,.0043,1,.1145
2020,1952,1,2,35,0,1,1,.0152,.0259,1,.1866
2020,1953,2,3,35,0,1,1,.0156,.0225,1,.1871
2020,1982,2,3,35,0,1,1,.0282,-.0121,1,.112
2020,1978,2,3,35,0,1,1,.0284,.0383,1,.1174
2020,1979,3,4,35,1,1,1,.028,.031,1,.1143
2020,1983,3,4,35,0,1,1,.0254,.0032,1,.2862
2020,1954,3,4,35,0,1,1,.0154,.0055,1,.1805
2020,1955,4,5,35,0,1,1,.0146,.0087,1,.1739
2020,1984,4,5,35,0,1,1,.0266,.0153,1,.2979
2020,1956,5,6,35,0,1,1,.0154,.0149,1,.1658
2020,1985,5,6,35,0,1,1,.03,.0357,1,.2903
2020,1957,6,7,35,0,1,1,.017,.0206,1,.1695
2020,1958,7,8,35,0,1,1,.0158,-.0081,1,.1664
2020,1959,8,9,35,0,1,1,.0146,-.0024,1,.159
2020,1960,9,10,35,0,1,1,.015,-.0017,1,.1583
2020,1961,10,11,35,0,1,1,.014,.0022,1,.1549
2020,1962,11,12,35,0,1,1,.0136,.0147,1,.1558
2020,1963,12,13,35,0,1,1,.0138,.0234,1,.1517
2020,1964,13,14,35,0,1,1,.0138,.0353,1,.1465
2020,1965,14,15,35,0,1,1,.0146,.0386,1,.1315
2020,1966,15,16,35,0,1,1,.0156,.0444,1,.1557
2020,1967,16,17,35,0,1,1,.0174,.0361,1,.1558
2020,1968,17,18,35,0,1,1,.018,.0314,1,.1541
2020,1969,18,19,35,0,1,1,.0198,.023,1,.1581
2020,1970,19,20,35,0,1,1,.021,.0145,1,.1397
2020,1971,20,21,35,0,1,1,.0206,.0094,1,.145
2020,1972,21,22,35,0,1,1,.0216,.0121,1,.1395
2020,1973,22,23,35,0,1,1,.0232,.027,1,.1359
2020,1974,23,24,35,1,1,1,.025,.0078,1,.1294
2042,1962,0,1,35,0,1,0,.0002,.0179,-.3,3.9498
2041,1961,0,1,25,0,1,0,0,-.0521,-.8,5.7806
2041,1964,0,1,25,0,1,0,0,0,-.9,5.5265
2042,1951,0,1,35,0,1,0,.0002,.0374,-.9,7.0568
2042,1960,0,1,35,0,1,0,.0002,.0018,-.9,4.1243
2041,1965,1,2,25,0,1,0,0,-.0076,-.9,4.7188
2041,1962,1,2,25,0,1,0,0,-.0066,-.9,5.7557
2042,1952,1,2,35,0,1,0,.0004,.0259,-.9,6.9463
2041,1963,2,3,25,1,1,0,0,-.0125,-.9,5.5546
2042,1953,2,3,35,0,1,0,.0004,.025,-.9,6.279
2042,1964,2,3,35,0,1,0,.0004,.0353,-.3,3.6666
2041,1966,2,3,25,0,1,0,0,-.001,-.9,5.3896
2041,1967,3,4,25,0,1,0,0,-.0173,-.9,5.7921
2042,1965,3,4,35,0,1,0,.0004,-.0222,-.3,3.2118
2042,1954,3,4,35,0,1,0,.0002,-.0002,-.9,5.715
2041,1968,4,5,25,0,1,0,0,-.0219,-.9,5.8202
2042,1955,4,5,35,0,1,0,.0004,.0056,-.9,6.0153
2042,1966,4,5,35,0,1,0,.0002,.0027,-.3,3.8519
2042,1967,5,6,35,0,1,0,.0002,-.0138,-.3,3.805
2041,1969,5,6,25,0,1,0,0,-.0163,-.9,5.7103
2042,1956,5,6,35,0,1,0,.0004,.0149,-.9,6.5976
2042,1968,6,7,35,0,1,0,.0002,.0314,-.3,3.7871
2041,1970,6,7,25,0,1,0,0,.0028,-.9,5.3324
2042,1957,6,7,35,0,1,0,.0004,.0206,-.9,5.1962
2042,1958,7,8,35,0,1,0,.0004,-.0081,-.9,4.274
2042,1969,7,8,35,0,1,0,.0004,.0175,-.3,3.6174
2041,1971,7,8,25,0,1,0,0,.0094,-1,4.9441
2041,1972,8,9,25,0,1,0,0,.0151,-1,4.8604
2042,1970,8,9,35,0,1,0,.0004,.0145,-.3,3.2651
2042,1959,8,9,35,1,1,0,.0004,-.0005,-.9,4.0733
2042,1971,9,10,35,0,1,0,.0004,.0094,-.3,3.0861
2041,1973,9,10,25,0,1,0,0,.0072,-1,4.6231
2041,1974,10,11,25,0,1,0,.0002,-.0038,-1,4.4248
2042,1972,10,11,35,0,1,0,.0004,.0152,-.3,2.9522
2041,1975,11,12,25,0,1,0,.0002,-.0138,-1,4.1242
2042,1973,11,12,35,0,1,0,.0004,.0318,-.3,2.8182
2041,1976,12,13,25,0,1,0,.0002,.0001,-1,4.0243
2042,1974,12,13,35,0,1,0,.0004,.0196,-.3,2.6912
2042,1975,13,14,35,0,1,0,.0006,-.0023,-.3,2.5472
2041,1977,13,14,25,0,1,0,.0002,.0155,-.9,3.9286
2041,1978,14,15,25,0,1,0,.0002,.0398,-.9,3.8381
2042,1976,14,15,35,0,1,0,.0006,.0001,-.3,2.4566
2042,1977,15,16,35,0,1,0,.0006,.0104,-.3,2.4085
2041,1979,15,16,25,0,1,0,.0002,.0224,-.9,3.7513
2041,1980,16,17,25,0,1,0,.0002,.0144,-.9,3.5564
