justiceName,CRPercent,GOP
AFortas,82.35294118,0
AJGoldberg,85.85858586,0
AMKennedy,33.09859155,1
AScalia,28,1
BRWhite,37.30092205,0
CEWhittaker,42.75362319,1
CThomas,21.47766323,1
DHSouter,55.39112051,1
EKagan,60.3960396,0
EWarren,78.6259542,1
FFrankfurter,50.84269663,0
FMurphy,82.41758242,0
FMVinson,30.46357616,0
HABlackmun,42.82511211,1
HHBurton,30.2238806,0
HLBlack,68.63270777,0
JGRoberts,29.87551867,1
JHarlan2,41.52700186,1
JPStevens,65.25423729,1
LFPowell,30.09868421,1
PStewart,52.08333333,1
RBGinsburg,60.8365019,0
RHJackson,40.82840237,0
SAAlito,20.61403509,1
SDOConnor,26.17449664,1
SFReed,27.61904762,0
SGBreyer,55.04032258,0
SMinton,29.62962963,0
SSotomayor,64.02877698,0
TCClark,38.3908046,0
TMarshall,80.50108932,0
WBRutledge,70.32967033,0
WEBurger,20.43010753,1
WHRehnquist,17.38730451,1
WJBrennan,77.14285714,1
WODouglas,86.40449438,0
