countryid,year,sftprev,sftpeth,sftpreg,sftpgen,poldurab,unuurbpc,ciob,cioc,POLITY,SumEvents
AFG,1957,0,0,0,0,57,6.82,9,0,-10,0
AFG,1962,0,0,0,0,62,7.99,12,1,-10,0
AFG,1967,0,0,0,0,2,9.35,12,2,-7,0
AFG,1972,0,0,0,0,7,11.03,13,2,-7,0
AFG,1977,0,0,0,0,12,13.27,14,4,-7,0
AFG,1982,1,1,1,1,17,15.65,13,3,-7,20
AFG,1987,1,1,1,1,22,16.91,16,4,-7,41
AFG,1992,1,1,1,1,0,18.25,16,4,0,61
AFG,1997,1,1,1,1,1,19.89,16,5,-7,61
ALB,1957,0,0,0,0,11,25.13,7,4,-9,0
ALB,1962,0,0,0,0,16,30.61,8,4,-9,0
ALB,1967,0,0,0,0,21,31.23,9,4,-9,0
ALB,1972,0,0,0,0,26,31.75,8,2,-9,0
ALB,1977,0,0,0,0,31,32.77,9,2,-9,0
ALB,1982,0,0,0,0,36,33.79,8,2,-9,0
ALB,1987,0,0,0,0,41,34.76,10,3,-9,0
ALB,1992,0,0,0,0,0,35.75,9,3,5,0
ALB,1997,1,0,1,0,0,37.21,22,4,6,5
ALG,1962,1,1,0,1,,30.44,5,0,,35.5
ALG,1967,0,0,0,0,4,37.63,14,2,-9,35.5
ALG,1972,0,0,0,0,9,39.5,18,7,-9,19.5
ALG,1977,0,0,0,0,14,40.33,20,12,-9,0
ALG,1982,0,0,0,0,19,43.37,22,12,-9,0
ALG,1987,0,0,0,0,24,47.53,25,13,-9,0
ALG,1992,1,0,1,0,0,51.73,24,9,-7,8
ALG,1997,1,0,1,0,2,55.67,25,8,-3,28
ANG,1977,1,1,1,1,2,17.79,1,0,-7,48
ANG,1982,1,1,1,1,7,20.89,10,2,-7,53
ANG,1987,1,1,1,1,12,24.19,15,2,-7,58
ANG,1992,1,1,1,1,0,27.58,17,2,0,60
ANG,1997,1,1,1,1,0,30.96,20,0,0,54
ARG,1957,0,0,0,0,0,69.63,17,4,-1,4
ARG,1962,0,0,0,0,5,73.61,18,7,-1,4
ARG,1967,0,0,0,0,1,76.11,20,7,-9,7
ARG,1972,0,0,0,0,6,78.39,24,8,-9,3
