ID,Docket,Amici,LnAmici,Year,USPartic,FedPetit,FedResp,SGAmicus,SCscore,MultipleLegal,select
3460906,61,0,,53,0,0,3,0,.38777778,0,0
3490458,20,1,0,55,0,0,3,0,.36000001,0,1
3490901,333,0,,55,1,0,1,0,.36000001,0,0
3500114,10 ORIG,0,,55,0,0,3,0,.36000001,0,0
3510570,529,4,1.3862944,56,0,0,3,0,.42399999,0,1
3520992,632,0,,57,0,0,3,0,.37222221,0,0
3550273,89,0,,58,1,0,1,0,.38499999,0,0
3550281,39,0,,58,0,0,3,0,.38499999,0,0
3560038,95,0,,58,1,0,1,0,.38499999,0,0
3590115,339,2,.69314718,59,0,0,3,0,.47666666,0,1
3600446,381,0,,59,1,1,3,0,.47666666,0,0
3600446,512,0,,59,1,0,1,0,.47666666,0,0
3600470,435,0,,59,1,0,1,0,.47666666,0,0
3620373,214,0,,60,0,0,3,0,.47666666,0,0
3660731,284,0,,61,1,0,1,0,.47666666,0,0
3660745,306,0,,61,1,0,1,0,.47666666,0,0
3680318,37,0,,61,1,1,3,0,.47666666,0,0
3730334,491,0,,63,1,0,1,0,.49555555,1,0
3730334,494,0,,63,1,0,1,0,.49555555,1,0
3730341,150,1,0,63,0,0,3,1,.49555555,1,1
3770179,470,1,0,64,0,0,3,0,.49555555,1,1
3780039,185,0,,64,1,1,3,0,.49555555,0,0
3790064,4,0,,64,0,0,3,0,.49555555,0,0
3810741,587 M,0,,65,0,0,3,0,.5511111,0,0
3820162,6,0,,65,1,0,1,0,.5511111,0,0
3890258,8,1,0,67,1,1,3,0,.66222221,1,1
3910430,695,2,.69314718,68,0,0,3,1,.66222221,0,1
3910443,805,1,0,68,0,0,3,1,.66222221,0,1
3910450,740,1,0,68,0,0,3,1,.66222221,0,1
3940217,53,0,,69,1,0,1,0,.46125001,0,0
3970728,399,1,0,70,1,0,1,0,.33555555,1,1
4000423,5370,0,,71,0,0,3,0,.076250002,1,0
4010493,41 ORIG,0,,71,0,0,3,1,.076250002,0,0
4120481,71-1182,1,0,73,0,0,3,1,-.017777778,0,1
4200308,73-1285,0,,75,0,0,3,0,-.12444445,0,0
4340022,76-6194,0,,77,1,0,1,0,-.12444445,0,0
4491023,80-5143,0,,80,0,0,3,0,-.12444445,0,0
4510287,79-1252,3,1.0986123,81,1,1,3,0,-.19888888,0,1
4550016,80-1251,2,.69314718,82,1,1,3,0,-.19888888,0,1
4550040,80-1350,7,1.9459101,82,0,0,3,0,-.19888888,0,1
4701088,84-5943,0,,85,0,0,3,0,-.19888888,0,0
4740120,84-1240,0,,85,0,0,3,0,-.19888888,0,0
3470535,450,0,,54,1,1,3,0,.31125,0,0
3480187,24,0,,55,1,1,3,0,.36000001,0,0
3500162,12,0,,56,1,0,1,0,.42399999,0,0
3520306,78,0,,57,1,1,3,0,.37222221,0,0
3560369,87,0,,58,1,0,1,0,.38499999,0,0
3560481,74,0,,58,1,0,1,0,.38499999,0,0
3570386,668,0,,58,1,0,1,0,.38499999,0,0
3570399,63,0,,58,0,0,3,0,.38499999,0,0
3570480,549,0,,58,1,0,1,0,.38499999,1,0
3580272,52,1,0,59,0,0,3,0,.47666666,0,1
3600301,482,0,,59,1,1,3,0,.47666666,0,0
3610199,50,0,,60,0,0,3,0,.47666666,0,0
3650514,121,0,,61,0,0,3,0,.47666666,1,0
3650731,96,0,,61,0,0,3,0,.47666666,0,0
3670396,315,0,,61,0,0,3,0,.47666666,0,0
3670497,60,2,.69314718,61,0,0,3,0,.47666666,0,1
3690811,864 M,0,,62,0,0,3,0,.49555555,0,0
3700019,241,0,,62,0,0,3,0,.49555555,1,0
3720487,201,0,,63,0,0,3,0,.49555555,0,0
3730427,236,0,,63,1,0,1,0,.49555555,1,0
3780205,449,0,,64,0,0,3,0,.49555555,0,0
3780558,546,0,,64,0,0,3,0,.49555555,0,0
3790026,31,0,,64,0,0,3,0,.49555555,0,0
3840678,650,0,,66,1,0,1,0,.5511111,0,0
3850554,69,0,,67,0,0,3,0,.66222221,0,0
3860664,413,0,,67,1,1,3,0,.66222221,0,0
3890024,174 M,0,,67,0,0,3,0,.66222221,0,0
3890347,35,0,,67,1,0,1,0,.66222221,0,0
3890404,678,0,,67,0,0,3,0,.66222221,1,0
3900459,59,0,,68,0,0,3,0,.66222221,1,0
3900474,39,2,.69314718,68,0,0,3,1,.66222221,0,1
3910253,23,0,,68,0,0,3,0,.66222221,0,0
3920157,363,3,1.0986123,68,1,1,3,0,.66222221,0,1
3920655,932,0,,68,0,0,3,0,.66222221,0,0
3940423,273,1,0,69,1,0,1,0,.46125001,1,1
3940976,937,0,,69,1,0,1,0,.46125001,0,0
3960064,35,0,,69,1,0,1,0,.46125001,0,0
3960482,743,0,,70,0,0,3,0,.33555555,0,0
3980006,413,0,,70,0,0,3,0,.33555555,0,0
4000542,73,5,1.6094379,71,0,0,3,1,.076250002,0,1
4040548,70-72,0,,72,1,1,3,0,-.017777778,0,0
4080169,71-452,3,1.0986123,72,0,0,3,0,-.017777778,0,1
4090151,71-366,0,,72,1,0,1,0,-.017777778,0,0
4100656,72-5431,0,,73,0,0,3,0,-.017777778,1,0
4110145,71-738,6,1.7917595,73,0,0,3,1,-.017777778,0,1
4140893,73-5046,0,,73,0,0,3,0,-.017777778,0,0
4220454,73-1924,5,1.6094379,75,1,0,1,0,-.12444445,1,1
4420114,78-776,0,,79,1,1,3,0,-.12444445,0,0
4500986,80-871,0,,81,0,0,3,0,-.19888888,0,0
4540904,80-1831,0,,81,0,0,3,0,-.19888888,0,0
4570569,81-213,2,.69314718,82,1,1,3,0,-.19888888,1,1
4740001,81 ORIG,0,,85,0,0,3,0,-.19888888,0,0
4760573,84-2030,6,1.7917595,86,0,0,3,0,-.22444445,1,1
3460502,31,0,,54,1,1,3,0,.31125,1,0
3460537,19,0,,54,0,0,3,0,.31125,0,0
3460545,38,0,,54,0,0,3,0,.31125,0,0
3500001,294 M,0,,55,0,0,3,0,.36000001,0,0
3550391,85,2,.69314718,58,0,0,3,0,.38499999,0,1
3550392,65 M,0,,58,1,0,1,0,.38499999,0,0
3640631,10,0,,61,1,0,1,0,.47666666,1,0
3680081,49,0,,61,1,0,1,0,.47666666,0,0
3680439,448 M,0,,62,1,0,1,0,.49555555,0,0
3690599,46,0,,62,1,0,1,0,.49555555,0,0
3710285,81,1,0,63,1,1,3,0,.49555555,1,1
3720248,690,0,,63,0,0,3,0,.49555555,0,0
3720335,155,3,1.0986123,63,0,0,3,0,.49555555,0,1
3720744,110,0,,63,0,0,3,0,.49555555,0,0
3730206,229,1,0,63,0,0,3,0,.49555555,0,1
3730221,288,0,,63,1,1,3,0,.49555555,0,0
3740074,604,4,1.3862944,63,0,0,3,0,.49555555,1,1
3740469,39,0,,63,1,0,1,0,.49555555,0,0
3860776,1060,0,,67,1,0,1,0,.66222221,0,0
3900261,69,1,0,68,1,0,1,0,.66222221,0,1
3910009,97,0,,68,0,0,3,0,.66222221,0,0
3910461,946,0,,68,1,1,3,0,.66222221,0,0
3930087,13,0,,68,0,0,3,0,.66222221,0,0
3930286,51,0,,69,1,1,3,0,.46125001,0,0
3930920,,0,,68,0,0,3,0,.66222221,0,0
3940147,42,0,,69,0,0,3,0,.46125001,0,0
3940526,30,0,,69,0,0,3,0,.46125001,0,0
3950258,646,0,,69,1,0,1,0,.46125001,1,0
3990204,1066,0,,70,0,0,3,0,.33555555,0,0
4010476,573,1,0,71,0,0,3,0,.076250002,0,1
4030937,1620,0,,71,0,0,3,0,.076250002,0,0
4040028,71-5679,0,,71,0,0,3,0,.076250002,0,0
4040189,70-5040,1,0,71,0,0,3,0,.076250002,0,1
4041049,71-5405,0,,72,0,0,3,0,-.017777778,0,0
4050394,70-305,1,0,72,1,1,3,0,-.017777778,0,1
4060311,71-81,1,0,72,1,1,3,0,-.017777778,1,1
4090017,9 ORIG,0,,72,1,1,3,0,-.017777778,0,0
4100425,72-686,0,,73,0,0,3,0,-.017777778,0,0
4110233,71-6481,1,0,73,1,0,1,0,-.017777778,0,1
4110451,71-1031,4,1.3862944,73,0,0,3,1,-.017777778,0,1
4170281,73-1283,0,,74,0,0,3,0,-.017777778,0,0
4180298,73-328,0,,74,0,0,3,0,-.017777778,0,0
4190007,73-1791,0,,74,0,0,3,0,-.017777778,0,0
4200194,73-717,1,0,75,0,0,3,1,-.12444445,1,1
4210412,73-2055,0,,75,1,0,1,0,-.12444445,0,0
4230303,74-712,0,,76,1,1,3,0,-.12444445,0,0
4250463,74-1656,0,,76,0,0,3,0,-.12444445,1,0
4280325,75-5844,0,,76,0,0,3,1,-.12444445,0,0
4280364,75-76,4,1.3862944,76,0,0,3,0,-.12444445,0,1
4300313,76-457,0,,77,1,1,3,0,-.12444445,1,0
4330025,76-607,0,,77,0,0,3,0,-.12444445,0,0
4340880,77-131,0,,77,0,0,3,0,-.12444445,0,0
4360180,76-750,2,.69314718,78,0,0,3,0,-.12444445,0,1
4360238,76-1835,0,,78,1,0,1,0,-.12444445,0,0
4390522,77-920,3,1.0986123,79,1,0,1,0,-.12444445,0,1
4420095,78-5944,0,,79,0,0,3,0,-.12444445,0,0
4430193,78-432,18,2.8903718,79,0,0,3,0,-.12444445,0,1
4430307,78-5283,4,1.3862944,79,0,0,3,0,-.12444445,0,1
4430622,78-330,0,,79,0,0,3,0,-.12444445,0,0
4430709,78-1904,0,,79,0,0,3,0,-.12444445,0,0
4460680,79-66,3,1.0986123,80,1,0,1,0,-.12444445,0,1
4480358,79-4,6,1.7917595,80,0,0,3,0,-.12444445,1,1
4490999,79-6615,0,,80,0,0,3,0,-.12444445,0,0
4530571,78-1789,3,1.0986123,81,0,0,3,1,-.19888888,0,1
4530902,80-1737,0,,81,0,0,3,0,-.19888888,0,0
4540235,80-848,2,.69314718,81,0,0,3,0,-.19888888,0,1
4550445,80-5887,2,.69314718,82,0,0,3,0,-.19888888,0,1
4550509,80-846,1,0,82,0,0,3,1,-.19888888,0,1
4550983,81-5786,0,,82,0,0,3,0,-.19888888,0,0
4560025,80-1924,1,0,82,1,1,3,0,-.19888888,0,1
4560037,81-1724,0,,82,1,0,1,0,-.19888888,0,0
4560844,80-2182,7,1.9459101,82,0,0,3,1,-.19888888,0,1
4580375,81-331,0,,82,0,0,3,0,-.19888888,0,0
4580886,81-202,3,1.0986123,82,0,0,3,0,-.19888888,0,1
4590948,81-2343,0,,82,0,0,3,0,-.19888888,0,0
4601030,81-1531,0,,83,0,0,3,0,-.19888888,0,0
4601047,82-5922,0,,83,0,0,3,0,-.19888888,0,0
4610499,81-1463,0,,83,1,1,3,0,-.19888888,0,0
4620036,81-1686,2,.69314718,83,1,1,3,0,-.19888888,0,1
4640417,81-1687,25,3.2188759,84,0,0,3,0,-.19888888,0,1
4641027,A-455,0,,83,0,0,3,0,-.19888888,0,0
4651041,83-791,0,,84,0,0,3,0,-.19888888,0,0
4671260,83-5933,0,,84,0,0,3,0,-.19888888,0,0
4691132,84-5545,0,,85,0,0,3,0,-.19888888,0,0
4740028,84-1852,0,,85,0,0,3,0,-.19888888,0,0
4770340,84-2015,10,2.3025851,86,0,0,3,1,-.22444445,0,1
4770365,84-1661,1,0,86,0,0,3,0,-.22444445,1,1
3680487,69,0,,62,1,0,1,0,.49555555,1,0
3750889,169 M,0,,63,0,0,3,0,.49555555,0,0
3770235,137,0,,64,1,0,1,0,.49555555,0,0
3890486,663 M,0,,68,1,0,1,0,.66222221,0,0
3940404,291,0,,69,0,0,3,0,.46125001,0,0
3970660,82,0,,70,0,0,3,0,.33555555,0,0
3970663,1112 M,0,,70,0,0,3,0,.33555555,0,0
3970664,135,12,2.4849067,70,0,0,3,0,.33555555,0,1
4000016,175,0,,70,0,0,3,0,.33555555,0,0
4040226,70-5041,0,,71,0,0,3,0,.076250002,0,0
4060186,50 ORIG,0,,72,0,0,3,0,-.017777778,0,0
4090540,71-1119,4,1.3862944,73,0,0,3,0,-.017777778,0,1
4110213,71-6757,0,,73,1,0,1,0,-.017777778,0,0
4110911,72-5919,0,,73,0,0,3,0,-.017777778,0,0
4160995,73-1403,0,,74,0,0,3,0,-.017777778,0,0
4190449,73-689,0,,75,0,0,3,0,-.12444445,0,0
4260548,75-382,1,0,76,1,1,3,0,-.12444445,0,1
4290014,75-1867,0,,76,1,1,3,0,-.12444445,0,0
4300938,75-985,0,,77,1,0,1,0,-.12444445,0,0
4340907,76-1638,0,,77,1,0,1,0,-.12444445,0,0
4390096,77849,0,,78,0,0,3,0,-.12444445,1,0
4391052,78-5519,0,,78,0,0,3,0,-.12444445,0,0
4570255,81-451,1,0,82,0,0,3,1,-.19888888,1,1
4591022,82-5378,0,,82,0,0,3,0,-.19888888,0,0
4601056,82-1131,0,,83,0,0,3,0,-.19888888,0,0
4670407,82-973,8,2.0794415,84,1,1,3,0,-.19888888,0,1
4710377,92 ORIG,0,,85,0,0,3,0,-.19888888,0,0
4740009,85-130,0,,85,0,0,3,0,-.19888888,0,0
3770713,508,1,0,64,0,0,3,1,.49555555,0,1
3810437,399,2,.69314718,65,1,1,3,0,.5511111,1,1
3810479,496,3,1.0986123,65,0,0,3,0,.5511111,1,1
3810676,240,4,1.3862944,65,0,0,3,1,.5511111,0,1
3810761,321,0,,65,0,0,3,0,.5511111,0,0
3810904,971,0,,65,0,0,3,0,.5511111,0,0
3820423,69,5,1.6094379,66,0,0,3,0,.5511111,1,1
3840672,673,1,0,66,0,0,3,0,.5511111,0,1
3840886,218,0,,66,1,0,1,0,.5511111,0,0
3860767,50,2,.69314718,67,0,0,3,0,.66222221,0,1
3920236,660,12,2.4849067,68,0,0,3,1,.66222221,1,1
3920571,808,0,,68,0,0,3,0,.66222221,0,0
3920571,809,0,,68,1,1,3,0,.66222221,0,0
3920658,1291,0,,68,0,0,3,0,.66222221,0,0
3920661,857 M,0,,68,0,0,3,0,.66222221,0,0
3920665,1599 M,0,,68,0,0,3,0,.66222221,0,0
3930071,247,0,,68,1,1,3,0,.66222221,0,0
3930410,8,0,,69,1,0,1,0,.46125001,0,0
3940165,11,0,,69,1,0,1,0,.46125001,1,0
3940165,133,0,,69,1,0,1,0,.46125001,1,0
3940784,343,0,,69,1,1,3,0,.46125001,0,0
3950208,39,0,,69,0,0,3,0,.46125001,0,0
3950825,996 M,0,,69,0,0,3,0,.46125001,0,0
3990906,1011,0,,70,0,0,3,0,.33555555,0,0
4010576,434,1,0,71,0,0,3,0,.076250002,0,1
4010601,345,0,,71,1,1,3,0,.076250002,1,0
4010617,59,2,.69314718,71,1,0,1,1,.076250002,0,1
4010617,61,1,0,71,1,0,1,0,.076250002,0,1
4010646,82,0,,71,1,0,1,0,.076250002,0,0
4020673,759,0,,71,1,1,3,0,.076250002,0,0
4020689,835,0,,71,0,0,3,0,.076250002,0,0
4020690,,0,,71,0,0,3,0,.076250002,0,0
4050208,70-5211,0,,72,1,0,1,0,-.017777778,0,0
4070143,70-283,3,1.0986123,72,0,0,3,1,-.017777778,0,1
4091017,72-5247,0,,72,0,0,3,0,-.017777778,0,0
4130528,72-534,0,,73,1,1,3,0,-.017777778,1,0
4130548,72-634,2,.69314718,73,1,1,3,0,-.017777778,1,1
4140014,72-1366,0,,73,0,0,3,0,-.017777778,0,0
4191126,74-29,0,,75,0,0,3,0,-.12444445,0,0
4200671,73-1123,0,,75,1,1,3,0,-.12444445,1,0
4220405,74-389,1,0,75,0,0,3,1,-.12444445,0,1
4220806,73-5772,0,,75,0,0,3,0,-.12444445,0,0
4320137,75-1805,0,,77,1,0,1,0,-.12444445,1,0
4390940,78-78,0,,78,1,0,1,0,-.12444445,0,0
4390947,78-5321,0,,78,0,0,3,0,-.12444445,0,0
4390951,78-649,0,,78,0,0,3,0,-.12444445,0,0
4390970,78-5177,0,,78,0,0,3,0,-.12444445,0,0
4390991,76-6882,0,,78,0,0,3,0,-.12444445,0,0
4470207,79-509,2,.69314718,80,0,0,3,0,-.12444445,1,1
4500936,79-5856,0,,81,0,0,3,0,-.19888888,0,0
4570393,81-455,0,,82,1,0,1,0,-.19888888,1,0
4590145,81-1489,0,,82,0,0,3,0,-.19888888,1,0
4650513,82-818,3,1.0986123,84,1,1,3,0,-.19888888,0,1
4691205,84-5909,0,,85,0,0,3,0,-.19888888,0,0
4780186,85-140,9,2.1972246,86,0,0,3,0,-.22444445,0,1
3460574,209,0,,54,0,0,3,0,.31125,0,0
3470017,7,0,,54,1,0,1,0,.31125,0,0
3470110,115,0,,54,1,1,3,0,.31125,1,0
3520565,531,0,,57,1,0,1,0,.37222221,0,0
3530322,540,0,,57,1,1,3,0,.37222221,0,0
3550080,451,0,,57,1,0,1,0,.37222221,0,0
3550083,20,0,,57,1,0,1,0,.37222221,0,0
3570275,124,4,1.3862944,58,0,0,3,1,.38499999,1,1
3570449,91,0,,58,0,0,3,0,.38499999,1,0
3570468,165,1,0,58,0,0,3,0,.38499999,1,1
3570566,1095,0,,58,0,0,3,0,.38499999,0,0
3570568,485,0,,58,0,0,3,0,.38499999,0,0
3580283,49,0,,59,0,0,3,0,.47666666,0,0
3590344,51,0,,59,0,0,3,0,.47666666,0,0
3600240,674 M,0,,59,0,0,3,0,.47666666,0,0
3610078,10,0,,59,1,1,3,0,.47666666,0,0
3620214,153,0,,60,1,0,1,0,.47666666,0,0
3620216,546 M,0,,60,1,0,1,0,.47666666,0,0
3640170,321,0,,60,1,0,1,0,.47666666,0,0
3640206,126,0,,60,1,0,1,0,.47666666,1,0
3640277,417 M,0,,60,0,0,3,0,.47666666,0,0
3640280,848,0,,60,1,0,1,0,.47666666,0,0
3650431,54,0,,61,1,0,1,0,.47666666,1,0
3650551,79,0,,61,1,0,1,0,.47666666,0,0
3670497,61,0,,61,0,0,3,0,.47666666,0,0
3670568,161,1,0,61,0,0,3,0,.47666666,0,1
3690749,9,0,,62,1,0,1,0,.49555555,0,0
3710531,133,0,,63,1,0,1,0,.49555555,0,0
3730934,824,0,,63,0,0,3,0,.49555555,0,0
3750059,44,0,,63,1,1,3,0,.49555555,0,0
3760389,66,0,,64,1,1,3,0,.49555555,0,0
3760492,89,1,0,64,1,0,1,0,.49555555,0,1
3770129,583,0,,64,0,0,3,0,.49555555,0,0
3780001,110,3,1.0986123,64,0,0,3,0,.49555555,0,1
3780582,14 M,0,,64,0,0,3,0,.49555555,0,0
3790048,54,0,,64,1,1,3,0,.49555555,0,0
3790433,178,0,,65,0,0,3,0,.5511111,0,0
3800051,69,1,0,65,0,0,3,0,.5511111,0,1
3820025,919,0,,65,0,0,3,0,.5511111,0,0
3840118,505,0,,66,0,0,3,0,.5511111,0,0
3841013,1549 M,0,,66,0,0,3,0,.5511111,0,0
3850188,65,0,,66,0,0,3,0,.5511111,0,0
3850263,47,1,0,66,1,1,3,0,.5511111,0,1
3850276,40,0,,66,1,0,1,0,.5511111,0,0
3850276,80,0,,66,1,0,1,0,.5511111,0,0
3850293,32,2,.69314718,66,1,0,1,0,.5511111,1,1
3850293,33,0,,66,1,0,1,0,.5511111,1,0
3860258,759,0,,67,0,0,3,0,.66222221,0,0
3860287,173,0,,67,1,1,3,0,.66222221,0,0
3860975,1027,0,,67,1,0,1,0,.66222221,0,0
3870167,438,0,,67,1,1,3,0,.66222221,0,0
3870231,1003,0,,67,0,0,3,0,.66222221,0,0
3870456,240,0,,67,1,0,1,0,.66222221,0,0
3870456,673,0,,67,1,1,3,0,.66222221,0,0
3880001,395,4,1.3862944,67,0,0,3,0,.66222221,1,1
3880450,366,0,,67,0,0,3,0,.66222221,0,0
3890327,353,0,,67,0,0,3,0,.66222221,0,0
3890954,197,0,,67,0,0,3,0,.66222221,0,0
3900085,236,0,,68,1,0,1,0,.66222221,1,0
3910510,1015,5,1.6094379,68,0,0,3,0,.66222221,0,1
3910930,-2,0,,68,1,0,1,0,.66222221,0,0
3920304,117 M,0,,68,0,0,3,0,.66222221,0,0
3920305,200 M,0,,68,1,0,1,0,.66222221,0,0
3920571,797,0,,68,0,0,3,0,.66222221,0,0
3930129,16,0,,68,0,0,3,0,.66222221,1,0
3930544,36,1,0,69,0,0,3,1,.46125001,0,1
3931002,613,0,,68,1,0,1,0,.66222221,0,0
3931043,397 M,0,,69,0,0,3,0,.46125001,0,0
3940103,370,1,0,69,0,0,3,0,.46125001,0,1
3940111,60,0,,69,0,0,3,0,.46125001,1,0
3940131,243,2,.69314718,69,1,0,1,0,.46125001,1,1
3940244,12,0,,69,1,0,1,0,.46125001,0,0
3940280,62,0,,69,0,0,3,0,.46125001,0,0
3940286,199,3,1.0986123,69,1,1,3,1,.46125001,1,1
3940309,814,0,,69,1,0,1,0,.46125001,0,0
3940310,106,0,,69,1,0,1,0,.46125001,0,0
3940310,124,0,,69,1,0,1,0,.46125001,0,0
3940310,129,0,,69,1,0,1,0,.46125001,0,0
3940310,168,0,,69,1,0,1,0,.46125001,0,0
3940310,271,0,,69,1,0,1,0,.46125001,0,0
3940310,28,0,,69,1,0,1,0,.46125001,0,0
3940310,317,0,,69,1,0,1,0,.46125001,0,0
3940310,474,0,,69,1,0,1,0,.46125001,0,0
3940310,54,0,,69,1,0,1,0,.46125001,0,0
3940310,546,0,,69,1,0,1,0,.46125001,0,0
3940310,668,0,,69,1,0,1,0,.46125001,0,0
3940310,715,0,,69,1,0,1,0,.46125001,0,0
3940618,9,11,2.3978953,69,0,0,3,0,.46125001,1,1
3940970,776,0,,69,0,0,3,0,.46125001,0,0
3940976,897,0,,69,1,0,1,0,.46125001,0,0
3950701,705,0,,69,0,0,3,0,.46125001,0,0
3950711,413,0,,69,0,0,3,0,.46125001,0,0
3950711,418,0,,69,0,0,3,0,.46125001,0,0
3970047,449,0,,70,1,0,1,0,.33555555,0,0
3970223,74,3,1.0986123,70,0,0,3,0,.33555555,0,1
3980960,621,0,,70,0,0,3,0,.33555555,0,0
3990392,921,0,,70,1,0,1,0,.33555555,0,0
3990510,81,3,1.0986123,70,0,0,3,0,.33555555,0,1
3990517,577,0,,70,0,0,3,0,.33555555,0,0
3990520,664,0,,70,0,0,3,0,.33555555,0,0
3990521,1195,0,,70,0,0,3,0,.33555555,0,0
3990929,508,0,,70,0,0,3,0,.33555555,0,0
4000112,46 ORIG,0,,70,1,1,3,0,.33555555,1,0
4000410,58,0,,71,1,1,3,0,.076250002,1,0
4010646,81,0,,71,1,0,1,0,.076250002,0,0
4010960,966,0,,71,0,0,3,0,.076250002,0,0
4020939,5067,0,,71,0,0,3,0,.076250002,0,0
4020954,5054,0,,71,0,0,3,0,.076250002,0,0
4020954,6375,0,,71,0,0,3,0,.076250002,0,0
4020961,5053,0,,71,1,0,1,0,.076250002,0,0
4030431,5714,0,,71,0,0,3,0,.076250002,1,0
4040403,70-61,1,0,72,1,1,3,0,-.017777778,0,1
4050979,71-833,0,,72,1,0,1,0,-.017777778,0,0
4070225,70-27,0,,72,0,0,3,0,-.017777778,0,0
4080104,70-5106,0,,72,0,0,3,0,-.017777778,0,0
4090896,72-29,0,,72,0,0,3,0,-.017777778,0,0
4090921,71-1537,0,,72,0,0,3,0,-.017777778,0,0
4090932,71-1656,0,,72,0,0,3,0,-.017777778,0,0
4091080,72-521,0,,72,0,0,3,0,-.017777778,0,0
4091086,72-5405,0,,72,0,0,3,0,-.017777778,0,0
