justid,caseid,year,vote,warrant,house,person,business,car,us,except,justideo
1,1,63,0,0,1,0,0,0,1,0,.75
1,2,63,0,0,0,0,1,0,1,0,.75
1,3,63,1,0,0,1,0,0,1,0,.75
1,4,63,0,0,1,0,0,0,0,0,.75
1,5,64,0,0,0,0,0,1,1,0,.75
1,6,64,0,1,1,0,0,0,0,0,.75
1,7,64,0,0,0,1,0,0,0,0,.75
1,8,65,0,1,1,0,0,0,1,0,.75
1,9,65,0,0,0,0,0,1,0,0,.75
1,10,65,0,0,1,0,0,0,0,0,.75
1,11,66,0,1,1,0,0,0,0,0,.75
1,12,66,1,0,1,0,0,0,1,1,.75
1,13,66,1,0,0,1,0,0,1,1,.75
1,14,67,0,0,0,0,0,1,0,0,.75
1,15,67,0,0,0,1,0,0,1,0,.75
1,16,67,1,0,1,0,0,0,0,2,.75
1,17,67,0,0,1,0,0,0,0,1,.75
1,18,67,0,0,0,0,1,0,0,0,.75
1,19,67,0,0,0,0,1,0,0,0,.75
1,20,67,0,0,1,0,0,0,0,1,.75
1,21,67,0,0,0,1,0,0,1,0,.75
1,22,68,0,0,1,0,0,0,0,0,.75
1,23,68,0,0,0,0,1,0,0,0,.75
1,24,68,1,0,0,0,0,1,1,1,.75
1,25,68,0,0,1,0,0,0,0,0,.75
1,26,68,1,0,0,1,0,0,0,0,.75
1,27,68,1,0,0,1,0,0,0,0,.75
1,28,68,0,0,0,1,0,0,0,0,.75
1,29,68,0,0,0,0,0,0,0,0,.75
1,30,68,0,1,0,0,1,0,0,0,.75
1,31,69,0,1,1,0,0,0,1,0,.75
1,32,69,0,0,0,0,1,0,1,0,.75
1,33,69,1,0,0,0,0,0,1,0,.75
1,34,69,0,0,1,0,0,0,1,0,.75
1,35,69,1,0,0,0,0,0,1,0,.75
1,36,69,1,0,0,0,0,0,1,0,.75
1,37,69,1,0,0,0,0,0,1,0,.75
1,38,69,0,0,0,1,0,0,0,0,.75
1,39,69,1,0,1,0,0,0,0,2,.75
1,40,69,0,0,0,0,1,0,1,0,.75
1,41,69,0,1,1,0,0,0,0,0,.75
1,42,69,0,0,1,0,0,0,0,0,.75
2,14,67,0,0,0,0,0,1,0,0,1
2,15,67,0,0,0,1,0,0,1,0,1
2,16,67,1,0,1,0,0,0,0,2,1
2,17,67,0,0,1,0,0,0,0,1,1
2,18,67,0,0,0,0,1,0,0,0,1
2,19,67,0,0,0,0,1,0,0,0,1
2,20,67,0,0,1,0,0,0,0,1,1
2,21,67,0,0,0,1,0,0,1,0,1
2,22,68,0,0,1,0,0,0,0,0,1
2,23,68,0,0,0,0,1,0,0,0,1
2,24,68,1,0,0,0,0,1,1,1,1
2,25,68,0,0,1,0,0,0,0,0,1
2,26,68,1,0,0,1,0,0,0,0,1
2,27,68,1,0,0,1,0,0,0,0,1
2,28,68,0,0,0,1,0,0,0,0,1
2,29,68,0,0,0,0,0,0,0,0,1
2,30,68,0,1,0,0,1,0,0,0,1
2,31,69,1,1,1,0,0,0,1,0,1
2,32,69,0,0,0,0,1,0,1,0,1
2,33,69,0,0,0,0,0,0,1,0,1
2,34,69,0,0,1,0,0,0,1,0,1
2,35,69,0,0,0,0,0,0,1,0,1
2,36,69,1,0,0,0,0,0,1,0,1
2,37,69,1,0,0,0,0,0,1,0,1
3,1,63,0,0,1,0,0,0,1,0,.875
3,2,63,0,0,0,0,1,0,1,0,.875
3,3,63,1,0,0,1,0,0,1,0,.875
3,4,63,1,0,1,0,0,0,0,0,.875
3,5,64,0,0,0,0,0,1,1,0,.875
3,6,64,1,1,1,0,0,0,0,0,.875
3,7,64,1,0,0,1,0,0,0,0,.875
3,8,65,1,1,1,0,0,0,1,0,.875
3,9,65,0,0,0,0,0,1,0,0,.875
3,10,65,0,0,1,0,0,0,0,0,.875
3,11,66,1,1,1,0,0,0,0,0,.875
3,12,66,1,0,1,0,0,0,1,1,.875
3,13,66,1,0,0,1,0,0,1,1,.875
3,14,67,1,0,0,0,0,1,0,0,.875
3,15,67,1,0,0,1,0,0,1,0,.875
3,16,67,1,0,1,0,0,0,0,2,.875
3,17,67,0,0,1,0,0,0,0,1,.875
3,18,67,0,0,0,0,1,0,0,0,.875
3,19,67,1,0,0,0,1,0,0,0,.875
3,20,67,0,0,1,0,0,0,0,1,.875
3,21,67,1,0,0,1,0,0,1,0,.875
3,22,68,0,0,1,0,0,0,0,0,.875
3,23,68,1,0,0,0,1,0,0,0,.875
3,24,68,1,0,0,0,0,1,1,1,.875
3,25,68,1,0,1,0,0,0,0,0,.875
3,26,68,1,0,0,1,0,0,0,0,.875
3,27,68,1,0,0,1,0,0,0,0,.875
3,28,68,1,0,0,1,0,0,0,0,.875
3,29,68,1,0,0,0,0,0,0,0,.875
3,30,68,1,1,0,0,1,0,0,0,.875
3,31,69,1,1,1,0,0,0,1,0,.875
3,32,69,1,0,0,0,1,0,1,0,.875
3,33,69,1,0,0,0,0,0,1,0,.875
3,34,69,1,0,1,0,0,0,1,0,.875
