partychoice,female,union,leftright,age
Social Democrats,1,4,2,51
Social Democrats,0,3,2,48
Social Democrats,0,3,4,42
Liberals,0,4,4,19
Liberals,0,3,4,57
Liberals,0,4,3,82
Social Democrats,0,2,3,31
Social Democrats,0,4,2,18
Left Party,0,1,2,61
Social Democrats,0,4,3,24
Conservatives,0,4,5,68
Liberals,1,3,4,35
Conservatives,1,1,4,40
Social Democrats,1,3,2,24
Liberals,0,2,3,56
Social Democrats,0,4,2,65
Liberals,1,4,3,59
Social Democrats,1,3,2,48
Conservatives,1,1,3,59
Conservatives,0,1,4,27
Liberals,1,4,4,78
Left Party,1,1,1,41
Conservatives,1,4,5,54
Conservatives,0,4,5,23
Social Democrats,0,3,1,74
Social Democrats,1,1,1,31
Social Democrats,1,1,1,51
Social Democrats,1,4,3,53
Conservatives,1,2,3,47
Social Democrats,1,2,2,36
Left Party,0,2,1,46
Social Democrats,0,1,2,51
Left Party,1,4,1,50
Social Democrats,0,4,3,51
Liberals,0,2,4,53
Social Democrats,1,1,2,55
Liberals,0,3,4,62
Conservatives,1,4,5,54
Conservatives,0,3,5,34
Conservatives,0,2,5,37
Conservatives,0,4,3,22
Liberals,1,3,4,49
Social Democrats,0,1,3,52
Social Democrats,0,4,5,28
Social Democrats,1,2,2,54
Social Democrats,0,4,2,25
Social Democrats,0,1,2,41
Social Democrats,0,1,3,62
Left Party,1,4,2,67
Liberals,1,2,1,50
Liberals,0,4,4,48
Liberals,1,1,4,51
Social Democrats,0,1,3,61
Social Democrats,0,4,2,29
Left Party,1,3,1,46
Left Party,0,3,2,48
Conservatives,0,4,4,27
Conservatives,0,4,5,70
Social Democrats,0,2,3,70
Conservatives,0,1,5,26
Conservatives,0,2,4,58
Conservatives,0,4,3,37
Social Democrats,0,2,2,50
Liberals,1,4,4,28
Left Party,0,4,2,19
Liberals,0,4,4,36
Left Party,0,2,1,59
Liberals,0,4,3,19
Left Party,1,4,2,17
Social Democrats,1,3,2,45
Conservatives,1,2,5,58
Social Democrats,1,3,3,44
Social Democrats,0,1,3,75
Social Democrats,1,1,2,41
Conservatives,0,3,4,68
Conservatives,0,1,4,46
Left Party,1,4,1,24
Conservatives,0,3,3,27
Liberals,0,4,5,33
Social Democrats,0,2,1,61
Social Democrats,1,4,2,36
Conservatives,1,4,5,68
Liberals,0,3,4,63
Social Democrats,1,4,3,34
Conservatives,1,4,4,69
Conservatives,1,4,5,63
Conservatives,1,2,4,48
Liberals,1,1,3,58
Liberals,0,4,3,22
Conservatives,0,4,4,60
Social Democrats,1,2,2,55
Conservatives,1,4,3,59
Social Democrats,1,4,4,68
Social Democrats,0,4,4,71
Liberals,1,1,4,58
Liberals,1,4,3,72
Social Democrats,0,1,4,45
Social Democrats,0,4,1,19
Conservatives,1,2,2,81
Social Democrats,1,2,3,43
Social Democrats,1,4,1,24
Conservatives,0,4,4,49
Social Democrats,1,1,1,28
Left Party,1,4,1,19
Conservatives,1,4,4,23
Social Democrats,0,4,2,44
Left Party,1,1,2,21
Conservatives,1,4,4,59
Social Democrats,1,4,4,20
Liberals,1,2,3,54
Conservatives,0,4,3,67
Social Democrats,1,2,3,50
Conservatives,0,2,4,27
Conservatives,1,4,4,26
Liberals,0,4,4,57
Liberals,1,3,3,57
