us,id,amrev,amaff,sumam,fedpet,constit,sgam
346/0325,2,0,0,0,0,0,0
346/0327,3,0,0,0,1,0,0
346/0328,4,0,0,0,1,0,0
346/0335,5,0,0,0,0,0,0
346/0338,6,0,0,0,0,0,0
346/0346,7,0,0,0,0,1,0
346/0346,8,0,0,0,0,1,0
346/0356,9,0,1,1,0,0,0
346/0356,11,0,0,0,0,0,0
346/0356,10,0,0,0,0,0,0
346/0366,12,0,0,0,0,0,0
346/0368,13,0,0,0,0,1,0
346/0374,15,0,0,0,1,0,0
346/0374,18,0,0,0,1,0,0
346/0374,17,0,0,0,1,0,0
346/0374,16,0,0,0,1,0,0
346/0374,14,0,0,0,1,0,0
346/0379,19,0,0,0,0,0,0
346/0389,20,0,0,0,0,0,0
346/0402,21,0,0,0,0,0,0
346/0406,22,0,0,0,0,0,0
346/0427,23,1,0,1,0,0,1
346/0441,24,0,0,0,1,0,0
346/0441,25,0,0,0,1,0,0
346/0441,26,0,0,0,1,0,0
346/0464,27,0,0,0,1,0,0
346/0482,28,0,0,0,0,0,0
346/0485,29,0,3,3,0,0,0
346/0502,30,0,0,0,1,0,0
346/0521,31,0,0,0,0,0,0
346/0537,32,0,0,0,0,0,0
346/0545,33,0,0,0,0,1,0
346/0556,34,0,0,0,0,0,0
346/0568,35,0,0,0,1,0,0
346/0574,36,0,0,0,0,0,0
346/0587,37,2,0,2,0,0,0
346/0587,38,0,0,0,0,0,0
346/0833,39,0,0,0,0,0,0
346/0844,40,0,0,0,0,0,0
346/0906,42,0,0,0,0,0,0
346/0906,41,0,0,0,0,0,0
346/0929,43,0,0,0,1,0,0
346/0929,44,0,0,0,0,0,0
346/0932,46,0,0,0,0,0,0
346/0932,45,0,0,0,0,0,0
347/0001,47,0,0,0,0,0,0
347/0017,49,0,0,0,1,0,0
347/0017,48,0,0,0,0,0,0
347/0017,50,0,0,0,0,0,0
347/0062,51,0,0,0,0,0,0
347/0067,53,0,0,0,0,0,0
347/0067,52,0,0,0,1,0,0
347/0074,55,1,0,1,0,0,0
347/0074,54,0,0,0,1,0,0
347/0081,56,0,0,0,1,0,0
347/0089,57,0,0,0,0,0,0
347/0110,58,0,0,0,1,1,0
347/0128,59,0,0,0,0,1,0
347/0157,62,0,0,0,0,1,0
347/0157,63,0,0,0,0,1,0
347/0157,61,0,0,0,0,1,0
347/0157,60,0,0,0,0,1,0
347/0171,64,0,0,0,1,0,0
347/0179,65,0,0,0,0,0,0
347/0186,66,0,0,0,1,0,0
347/0198,67,0,0,0,1,0,0
347/0201,68,0,1,1,0,0,0
347/0222,69,0,0,0,0,1,0
347/0227,70,0,0,0,0,0,0
347/0231,71,0,0,0,0,1,0
347/0239,72,0,0,0,1,0,0
347/0260,73,0,0,0,0,0,0
347/0272,75,0,0,0,0,1,0
347/0272,74,0,0,0,0,1,0
347/0284,77,0,0,0,1,0,0
347/0284,78,0,0,0,1,0,0
347/0284,76,0,0,0,1,0,0
347/0298,82,0,0,0,0,0,0
347/0298,81,0,0,0,0,0,0
347/0298,79,0,0,0,0,0,0
347/0298,80,0,0,0,0,0,0
347/0334,83,0,0,0,0,0,0
347/0340,84,0,0,0,0,1,0
347/0359,85,0,0,0,0,1,0
347/0373,86,2,1,3,0,1,1
347/0381,87,0,0,0,1,0,0
347/0388,88,0,0,0,0,0,0
347/0396,89,0,0,0,0,0,0
347/0403,91,0,0,0,0,0,0
347/0403,90,0,0,0,1,0,0
347/0409,92,0,0,0,0,0,0
347/0439,93,0,0,0,0,0,0
347/0439,94,0,0,0,1,0,0
347/0442,95,0,0,0,0,1,0
347/0475,96,0,0,0,0,1,0
347/0483,98,0,3,3,0,1,1
347/0483,100,0,0,0,0,1,0
347/0483,97,6,0,6,0,1,1
347/0483,99,1,0,1,0,1,1
347/0497,101,4,0,4,0,1,1
347/0501,102,0,0,0,0,0,0
347/0507,103,0,0,0,1,0,0
347/0514,104,0,0,0,1,0,0
347/0521,105,0,0,0,0,0,0
347/0522,106,0,0,0,0,0,0
347/0535,107,0,0,0,1,0,0
347/0556,108,0,0,0,0,1,0
347/0590,109,0,0,0,0,1,0
347/0610,110,0,0,0,0,0,0
347/0612,111,0,0,0,1,1,0
347/0637,112,0,0,0,1,0,0
347/0645,113,0,0,0,1,0,0
347/0645,114,0,0,0,0,0,0
347/0656,115,0,0,0,0,0,0
347/0672,118,0,0,0,1,0,0
347/0672,116,1,2,3,0,0,0
347/0672,117,0,0,0,0,0,0
347/0909,120,0,0,0,0,0,0
347/0909,119,0,0,0,0,0,0
