leadid,obsid,ccode,startobs,endobs,year,tenstart,tenure,tenureyears,tenureend,age,female,LatinAm,Europe,Africa,Asia,MidEast
"A2.5-1","USA-1869",2,-33174,-32872,1869,1,303,1,0,47,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-32871,-32507,1870,304,668,2,0,48,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-32506,-32142,1871,669,1033,3,0,49,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-32141,-31776,1872,1034,1399,4,0,50,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-31775,-31411,1873,1400,1764,5,0,51,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-31410,-31046,1874,1765,2129,6,0,52,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-31045,-30681,1875,2130,2494,7,0,53,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-30680,-30315,1876,2495,2860,8,0,54,0,0,0,0,0,0
"A2.5-1","USA-1869",2,-30314,-30252,1877,2861,2923,8,1,55,0,0,0,0,0,0
"A2.5-10","USA-1881-2",2,-28592,-28489,1881,1,104,0,0,52,0,0,0,0,0,0
"A2.5-10","USA-1881-2",2,-28488,-28124,1882,105,469,1,0,53,0,0,0,0,0,0
"A2.5-10","USA-1881-2",2,-28123,-27759,1883,470,834,2,0,54,0,0,0,0,0,0
"A2.5-10","USA-1881-2",2,-27758,-27393,1884,835,1200,3,0,55,0,0,0,0,0,0
"A2.5-10","USA-1881-2",2,-27392,-27330,1885,1201,1263,3,1,56,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-17615,-17533,1911,1,83,0,0,57,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-17532,-17167,1912,84,449,1,0,58,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-17166,-16802,1913,450,814,2,0,59,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-16801,-16437,1914,815,1179,3,0,60,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-16436,-16072,1915,1180,1544,4,0,61,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-16071,-15706,1916,1545,1910,5,0,62,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-15705,-15341,1917,1911,2275,6,0,63,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-15340,-14976,1918,2276,2640,7,0,64,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-14975,-14611,1919,2641,3005,8,0,65,0,0,0,0,0,0
"A2.5-100","CAN-1911",20,-14610,-14449,1920,3006,3167,9,1,66,0,0,0,0,0,0
"A2.5-1000","NIC-1893",93,-24259,-24106,1893,1,154,0,0,40,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-24105,-23741,1894,155,519,1,0,41,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-23740,-23376,1895,520,884,2,0,42,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-23375,-23010,1896,885,1250,3,0,43,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-23009,-22645,1897,1251,1615,4,0,44,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-22644,-22280,1898,1616,1980,5,0,45,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-22279,-21915,1899,1981,2345,6,0,46,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-21914,-21550,1900,2346,2710,7,0,47,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-21549,-21185,1901,2711,3075,8,0,48,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-21184,-20820,1902,3076,3440,9,0,49,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-20819,-20455,1903,3441,3805,10,0,50,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-20454,-20089,1904,3806,4171,11,0,51,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-20088,-19724,1905,4172,4536,12,0,52,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-19723,-19359,1906,4537,4901,13,0,53,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-19358,-18994,1907,4902,5266,14,0,54,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-18993,-18628,1908,5267,5632,15,0,55,0,1,0,0,0,0
"A2.5-1000","NIC-1893",93,-18627,-18278,1909,5633,5982,16,1,56,0,1,0,0,0,0
"A2.5-1003","NIC-1909",93,-18278,-18263,1909,1,16,0,0,42,0,1,0,0,0,0
"A2.5-1003","NIC-1909",93,-18262,-18031,1910,17,248,1,1,43,0,1,0,0,0,0
"A2.5-1006","NIC-1910-1",93,-18031,-18022,1910,1,10,0,1,,0,1,0,0,0,0
"A2.5-1009","NIC-1910-2",93,-18022,-17898,1910,1,125,0,0,39,0,1,0,0,0,0
"A2.5-1009","NIC-1910-2",93,-17897,-17769,1911,126,254,1,1,40,0,1,0,0,0,0
"A2.5-1012","NIC-1911",93,-17769,-17533,1911,1,237,1,0,34,0,1,0,0,0,0
"A2.5-1012","NIC-1911",93,-17532,-17167,1912,238,603,2,0,35,0,1,0,0,0,0
"A2.5-1012","NIC-1911",93,-17166,-16802,1913,604,968,3,0,36,0,1,0,0,0,0
"A2.5-1012","NIC-1911",93,-16801,-16437,1914,969,1333,4,0,37,0,1,0,0,0,0
"A2.5-1012","NIC-1911",93,-16436,-16072,1915,1334,1698,5,0,38,0,1,0,0,0,0
"A2.5-1012","NIC-1911",93,-16071,-15706,1916,1699,2064,6,1,39,0,1,0,0,0,0
"A2.5-1015","NIC-1917",93,-15705,-15341,1917,1,365,1,0,46,0,1,0,0,0,0
"A2.5-1015","NIC-1917",93,-15340,-14976,1918,366,730,2,0,47,0,1,0,0,0,0
"A2.5-1015","NIC-1917",93,-14975,-14611,1919,731,1095,3,0,48,0,1,0,0,0,0
"A2.5-1015","NIC-1917",93,-14610,-14245,1920,1096,1461,4,1,49,0,1,0,0,0,0
"A2.5-1018","NIC-1921",93,-14244,-13880,1921,1,365,1,0,60,0,1,0,0,0,0
"A2.5-1018","NIC-1921",93,-13879,-13515,1922,366,730,2,0,61,0,1,0,0,0,0
"A2.5-1018","NIC-1921",93,-13514,-13230,1923,731,1015,3,1,62,0,1,0,0,0,0
"A2.5-1021","NIC-1923",93,-13230,-13150,1923,1,81,0,0,63,0,1,0,0,0,0
"A2.5-1021","NIC-1923",93,-13149,-12808,1924,82,423,1,1,64,0,1,0,0,0,0
"A2.5-1024","NIC-1925",93,-12783,-12419,1925,1,365,1,0,65,0,1,0,0,0,0
"A2.5-1024","NIC-1925",93,-12418,-12405,1926,366,379,1,1,66,0,1,0,0,0,0
"A2.5-1027","NIC-1926-1",93,-12402,-12116,1926,1,287,1,1,55,0,1,0,0,0,0
"A2.5-103","CAN-1920",20,-14419,-14245,1920,1,175,0,0,46,0,0,0,0,0,0
"A2.5-103","CAN-1920",20,-14244,-13882,1921,176,538,1,1,47,0,0,0,0,0,0
"A2.5-1030","NIC-1926-2",93,-12116,-12054,1926,1,63,0,0,,0,1,0,0,0,0
"A2.5-1030","NIC-1926-2",93,-12053,-11689,1927,64,428,1,0,,0,1,0,0,0,0
"A2.5-1030","NIC-1926-2",93,-11688,-11323,1928,429,794,2,0,,0,1,0,0,0,0
"A2.5-1030","NIC-1926-2",93,-11322,-11322,1929,795,795,2,1,,0,1,0,0,0,0
"A2.5-1033","NIC-1929",93,-11322,-10958,1929,1,365,1,0,58,0,1,0,0,0,0
"A2.5-1033","NIC-1929",93,-10957,-10593,1930,366,730,2,0,59,0,1,0,0,0,0
"A2.5-1033","NIC-1929",93,-10592,-10228,1931,731,1095,3,0,60,0,1,0,0,0,0
"A2.5-1033","NIC-1929",93,-10227,-9862,1932,1096,1461,4,1,61,0,1,0,0,0,0
"A2.5-1036","NIC-1933",93,-9861,-9497,1933,1,365,1,0,59,0,1,0,0,0,0
"A2.5-1036","NIC-1933",93,-9496,-9132,1934,366,730,2,0,60,0,1,0,0,0,0
"A2.5-1036","NIC-1933",93,-9131,-8767,1935,731,1095,3,0,61,0,1,0,0,0,0
"A2.5-1036","NIC-1933",93,-8766,-8609,1936,1096,1253,3,1,62,0,1,0,0,0,0
"A2.5-1039","NIC-1936",93,-8609,-8414,1936,1,196,1,1,50,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-8400,-8036,1937,1,365,1,0,41,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-8035,-7671,1938,366,730,2,0,42,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-7670,-7306,1939,731,1095,3,0,43,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-7305,-6940,1940,1096,1461,4,0,44,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-6939,-6575,1941,1462,1826,5,0,45,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-6574,-6210,1942,1827,2191,6,0,46,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-6209,-5845,1943,2192,2556,7,0,47,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-5844,-5479,1944,2557,2922,8,0,48,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-5478,-5114,1945,2923,3287,9,0,49,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-5113,-4749,1946,3288,3652,10,0,50,0,1,0,0,0,0
"A2.5-1042","NIC-1937",93,-4748,-4628,1947,3653,3773,10,1,51,0,1,0,0,0,0
"A2.5-1045","NIC-1947-1",93,-4628,-4603,1947,1,26,0,1,72,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-4603,-4384,1947,1,220,1,0,51,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-4383,-4018,1948,221,586,2,0,52,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-4017,-3653,1949,587,951,3,0,53,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-3652,-3288,1950,952,1316,4,0,54,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-3287,-2923,1951,1317,1681,5,0,55,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-2922,-2557,1952,1682,2047,6,0,56,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-2556,-2192,1953,2048,2412,7,0,57,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-2191,-1827,1954,2413,2777,8,0,58,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-1826,-1462,1955,2778,3142,9,0,59,0,1,0,0,0,0
"A2.5-1048","NIC-1947-2",93,-1461,-1189,1956,3143,3415,9,1,60,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,-1189,-1096,1956,1,94,0,0,34,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,-1095,-731,1957,95,459,1,0,35,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,-730,-366,1958,460,824,2,0,36,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,-365,-1,1959,825,1189,3,0,37,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,0,365,1960,1190,1555,4,0,38,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,366,730,1961,1556,1920,5,0,39,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,731,1095,1962,1921,2285,6,0,40,0,1,0,0,0,0
"A2.5-1051","NIC-1956",93,1096,1216,1963,2286,2406,7,1,41,0,1,0,0,0,0
"A2.5-1054","NIC-1963",93,1216,1460,1963,1,245,1,0,54,0,1,0,0,0,0
"A2.5-1054","NIC-1963",93,1461,1826,1964,246,611,2,0,55,0,1,0,0,0,0
"A2.5-1054","NIC-1963",93,1827,2191,1965,612,976,3,0,56,0,1,0,0,0,0
"A2.5-1054","NIC-1963",93,2192,2406,1966,977,1191,3,1,57,0,1,0,0,0,0
"A2.5-1057","NIC-1966",93,2407,2556,1966,1,150,0,0,66,0,1,0,0,0,0
"A2.5-1057","NIC-1966",93,2557,2677,1967,151,271,1,1,67,0,1,0,0,0,0
"A2.5-106","CAN-1921",20,-13882,-13880,1921,1,3,0,0,47,0,0,0,0,0,0
"A2.5-106","CAN-1921",20,-13879,-13515,1922,4,368,1,0,48,0,0,0,0,0,0
"A2.5-106","CAN-1921",20,-13514,-13150,1923,369,733,2,0,49,0,0,0,0,0,0
"A2.5-106","CAN-1921",20,-13149,-12784,1924,734,1099,3,0,50,0,0,0,0,0,0
"A2.5-106","CAN-1921",20,-12783,-12419,1925,1100,1464,4,0,51,0,0,0,0,0,0
"A2.5-106","CAN-1921",20,-12418,-12240,1926,1465,1643,4,1,52,0,0,0,0,0,0
"A2.5-1060","NIC-1967",93,2677,2921,1967,1,245,1,0,42,0,1,0,0,0,0
