congress,nulls,tenure,unified,year
1,0,0.800000012,1,1790
2,0,2.5,1,1792
3,0,4.199999809,0,1794
4,0,3.799999952,1,1796
5,0,4,1,1798
6,0,4.800000191,1,1800
7,0,5.699999809,1,1802
8,1,7.199999809,1,1804
9,0,7,1,1806
10,0,7.900000095,1,1808
11,0,9.899999619,1,1810
12,0,6.599999905,1,1812
13,0,8.600000381,1,1814
14,0,10.60000038,1,1816
15,0,12.60000038,1,1818
16,0,14.60000038,1,1820
17,0,16.60000038,1,1822
18,0,16.10000038,1,1824
19,0,15.39999962,1,1826
20,0,17.39999962,1,1828
21,0,14.39999962,1,1830
22,0,16.39999962,1,1832
23,0,18.39999962,1,1834
24,0,7.400000095,1,1836
25,0,7.599999905,1,1838
26,0,9.600000381,1,1840
27,0,11,1,1842
28,0,12,1,1844
29,0,7,1,1846
30,0,9,0,1848
31,0,11,1,1850
32,0,12.30000019,1,1852
33,0,12.60000038,1,1854
34,0,14.60000038,0,1856
35,1,15.80000019,1,1858
36,0,17.79999924,0,1860
37,0,12.80000019,1,1862
38,0,10.60000038,1,1864
39,1,10.80000019,1,1866
40,2,9.5,1,1868
41,4,8.199999809,1,1870
42,1,7.199999809,1,1872
43,0,8.100000381,1,1874
44,1,10.10000038,0,1876
45,1,10.19999981,0,1878
46,1,11.10000038,1,1880
47,0,7.599999905,0,1882
48,2,9.600000381,0,1884
49,1,11.60000038,0,1886
50,1,11.10000038,0,1888
51,0,9.100000381,0,1890
52,0,8.699999809,0,1892
53,1,8.800000191,1,1894
54,2,10.60000038,1,1896
55,0,8.699999809,1,1898
56,2,10.69999981,1,1900
57,1,10.30000019,1,1902
58,0,11.10000038,1,1904
59,3,11.30000019,1,1906
60,2,13.30000019,1,1908
61,2,8.600000381,1,1910
62,3,6.699999809,0,1912
63,0,8.100000381,1,1914
64,2,8.800000191,1,1916
65,1,10.80000019,1,1918
66,3,12.80000019,1,1920
67,6,9,1,1922
68,3,9.800000191,1,1924
69,2,8.800000191,1,1926
70,3,10.80000019,1,1928
71,0,11.60000038,1,1930
72,1,10.19999981,0,1932
73,2,12.19999981,1,1934
74,10,14.19999981,1,1936
75,0,11.39999962,1,1938
76,0,8.100000381,1,1940
77,0,5.300000191,1,1942
78,1,7.099999905,1,1944
79,1,5.099999905,1,1946
80,0,7.099999905,0,1948
81,0,7.400000095,1,1950
82,1,9.399999619,1,1952
83,1,10.69999981,1,1954
84,1,10.30000019,1,1956
85,2,8.800000191,1,1958
86,3,10.80000019,1,1960
87,0,9.699999809,1,1962
88,3,11.69999981,1,1964
89,4,13.30000019,1,1966
90,6,13.30000019,1,1968
91,6,13,1,1970
92,5,9.199999809,1,1972
93,4,11.19999981,1,1974
94,3,9.199999809,1,1976
95,4,11.19999981,1,1978
96,2,13.19999981,1,1980
97,2,12.69999981,0,1982
98,7,14.69999981,0,1984
99,3,16.70000076,0,1986
100,2,15,1,1988
101,2,13.19999981,1,1990
102,2,13.27777672,1,1992
103,0,10.5,1,1994
104,8,12.5,1,1996
