ccode,Ndyads,disputes,allies,openness,exposure
2,3249,52,1283,0.164022103,8.086102486
20,136,2,70,0.455769241,4.912654877
41,119,1,73,0.115630254,4.779123306
42,111,0,66,0.258297861,4.709530354
51,92,0,0,0.551086962,4.521788597
52,116,0,0,0.50284481,4.753590107
70,147,2,101,0.090406507,4.990432739
90,172,4,130,0.185785711,5.147494316
91,165,5,123,0.379259259,5.105945587
92,131,0,90,0.264038473,4.875197411
93,143,4,95,0.21921052,4.962844849
94,150,0,105,0.327967495,5.010635376
95,150,0,105,0.537539661,5.010635376
100,254,1,207,0.118223347,5.537334442
101,164,6,103,0.375474453,5.09986639
110,80,0,0,0.655499995,4.382026672
130,146,5,101,0.19634147,4.983606815
135,204,1,159,0.173619628,5.318120003
140,271,3,211,0.07867647,5.602118969
145,192,2,148,0.227341041,5.257495403
150,140,2,97,0.190650403,4.941642284
155,223,5,176,0.20128049,5.407171726
160,245,6,188,0.128867,5.501258373
165,146,0,87,0.153196722,4.983606815
200,2526,34,644,0.411275595,7.834392071
205,161,1,0,0.769104481,5.081404209
210,216,3,148,0.879811347,5.375278473
211,166,2,101,0.961968482,5.111987591
212,133,0,66,1.658910871,4.890348911
220,2397,19,454,0.358103544,7.781973362
225,165,0,0,0.642403126,5.105945587
230,139,4,31,0.183196723,4.934473991
235,148,4,0,0.340614021,4.99721241
260,179,6,31,0.500469804,5.187386036
265,113,0,26,,4.727387905
290,131,2,36,0.213333338,4.875197411
305,196,1,0,0.584767461,5.278114796
310,130,1,76,0.363124996,4.867534637
315,32,0,8,,3.465735912
325,192,4,34,0.278145701,5.257495403
345,151,2,32,0.318425208,5.017279625
350,116,5,26,0.293052644,4.753590107
352,96,1,0,0.691818178,4.564348221
355,90,1,32,,4.499809742
360,57,1,30,,4.043051243
365,1593,44,71,,7.373374462
375,105,0,0,0.528846145,4.653960228
380,104,0,0,0.635384619,4.64439106
385,140,2,105,0.937307715,4.941642284
390,35,0,0,0.659615397,3.555348158
395,22,0,0,0.926363647,3.091042519
404,36,0,23,0.196666673,3.583518982
432,179,2,150,0.201578945,5.187386036
433,68,0,39,0.34279412,4.219507694
434,107,0,84,0.185340911,4.672828674
435,54,2,32,0.514814794,3.988984108
436,101,0,78,0.240121961,4.615120411
437,106,0,75,0.425172418,4.663439274
438,70,0,68,,4.248495102
439,55,0,36,,4.007333279
450,45,0,22,0.605555534,3.80666256
451,25,0,0,0.182272732,3.218875885
452,46,4,44,0.267608702,3.828641415
461,23,0,0,0.379565209,3.135494232
471,134,2,110,0.266525418,4.897840023
475,39,0,16,0.205641031,3.663561583
481,44,0,22,0.867142856,3.784189701
482,76,1,54,0.25618422,4.330733299
483,30,1,12,0.186333328,3.401197433
484,51,4,18,0.648431361,3.931825638
490,136,6,114,0.460882366,4.912654877
500,82,9,46,0.590365827,4.406719208
501,101,3,20,0.281287134,4.615120411
510,119,1,0,0.277478993,4.779123306
516,41,2,19,0.14439024,3.713572025
517,22,0,0,0.110454544,3.091042519
520,48,3,7,0.313958317,3.871201038
530,91,6,18,0.119642854,4.510859489
540,24,2,0,,3.178053856
541,48,2,0,0.075000003,3.871201038
551,53,7,1,0.567358494,3.970291853
552,49,2,0,0.345909089,3.891820192
553,21,0,0,0.217619047,3.044522524
560,50,1,0,0.293260872,3.912023067
590,18,0,0,0.364444435,2.890371799
600,52,4,22,0.231875002,3.951243639
615,45,0,23,0.470666677,3.80666256
616,45,0,20,0.316888899,3.80666256
625,73,1,47,0.148000002,4.290459633
630,176,12,95,,5.170484066
640,75,6,26,0.088857144,4.317488194
645,132,11,82,,4.88280201
651,90,7,49,0.29103896,4.499809742
652,47,3,22,0.172325581,3.850147486
663,51,0,25,0.611874998,3.931825638
666,24,0,0,0.587391317,3.178053856
670,79,3,16,0.899999976,4.369447708
678,16,0,0,0.159999996,2.77258873
690,22,0,0,0.913181841,3.091042519
696,20,0,0,1.174444437,2.995732307
698,5,0,0,0.895999968,1.609437943
700,41,3,22,,3.713572025
710,352,28,26,0.031764705,5.863631248
732,25,5,0,0.300476193,3.218875885
750,115,11,0,0.055913977,4.744932175
770,35,1,0,0.083076924,3.555348158
771,13,0,0,0.055384614,2.564949274
775,25,5,0,,3.218875885
800,37,0,0,0.152432427,3.610917807
820,63,4,0,0.420634925,4.143134594
830,21,0,0,1.481999993,3.044522524
840,23,0,0,0.154347822,3.135494232
850,31,3,0,0.16870968,3.433987141
900,44,0,34,0.299166679,3.784189701
