justiceName,LiberalPct,GOP
ACBarrett,27.27272727272727,1
AFortas,82.47978436657682,0
AJGoldberg,91.05058365758755,0
AMKennedy,37.18622300058377,1
AScalia,27.330264672036826,1
BMKavanaugh,34.862385321100916,1
BRWhite,44.751749416861045,0
CEWhittaker,47.712418300653596,1
CThomas,23.771580345285525,1
DHSouter,58.16993464052288,1
EKagan,64.71910112359551,0
EWarren,80.47079337401918,1
FFrankfurter,55.500618046971574,0
FMurphy,80.64516129032258,0
FMVinson,37.22222222222222,0
HABlackmun,51.34315424610052,1
HHBurton,39.1025641025641,0
HLBlack,73.85241138872748,0
JGRoberts,38.579387186629525,1
JHarlan2,44.18789808917197,1
JPStevens,64.35331230283911,1
LFPowell,37.48403575989783,1
NMGorsuch,41.72185430463576,1
PStewart,54.56642066420664,1
RBGinsburg,63.31360946745562,0
RHJackson,41.22340425531915,0
SAAlito,28.32369942196532,1
SDOConnor,33.990980834272825,1
SFReed,36.19631901840491,0
SGBreyer,59.60365853658537,0
SMinton,36.58536585365854,0
SSotomayor,68.20809248554913,0
TCClark,46.76190476190476,0
TMarshall,81.57669237360754,0
WBRutledge,74.45652173913044,0
WEBurger,29.84144960362401,1
WHRehnquist,21.17561153705732,1
WJBrennan,80,1
WODouglas,87.76671408250355,0
