justice,svcstart,service,retire,death,chief,south,age,pension,pagree,threecat
1,0,1,0,0,1,0,44,0,1,0
1,1,2,0,0,1,0,45,0,1,0
1,2,3,0,0,1,0,46,0,1,0
1,3,4,0,0,1,0,47,0,1,0
1,4,5,0,0,1,0,48,0,1,0
1,5,6,0,0,1,0,49,0,1,0
1,6,7,1,0,1,0,50,0,1,1
2,0,1,0,0,0,1,50,0,1,0
2,1,2,0,0,0,1,51,0,1,0
2,2,3,1,0,0,1,52,0,1,1
3,0,1,0,0,0,0,57,0,1,0
3,1,2,0,0,0,0,58,0,1,0
3,2,3,0,0,0,0,59,0,1,0
3,3,4,0,0,0,0,60,0,1,0
3,4,5,0,0,0,0,61,0,1,0
3,5,6,0,0,0,0,62,0,1,0
3,6,7,0,0,0,0,63,0,1,0
3,7,8,0,0,0,0,64,0,1,0
3,8,9,0,0,0,0,65,0,1,0
3,9,10,0,0,0,0,66,0,1,0
3,10,11,0,0,0,0,67,0,1,0
3,11,12,0,0,0,0,68,0,0,0
3,12,13,0,0,0,0,69,0,0,0
3,13,14,0,0,0,0,70,0,0,0
3,14,15,0,0,0,0,71,0,0,0
3,15,16,0,0,0,0,72,0,0,0
3,16,17,0,0,0,0,73,0,0,0
3,17,18,0,0,0,0,74,0,0,0
3,18,19,0,0,0,0,75,0,0,0
3,19,20,0,0,0,0,76,0,0,0
3,20,21,0,1,0,0,77,0,0,2
4,0,1,0,0,0,0,47,0,1,0
4,1,2,0,0,0,0,48,0,1,0
4,2,3,0,0,0,0,49,0,1,0
4,3,4,0,0,0,0,50,0,1,0
4,4,5,0,0,0,0,51,0,1,0
4,5,6,0,0,0,0,52,0,1,0
4,6,7,0,0,0,0,53,0,1,0
4,7,8,0,0,0,0,54,0,1,0
4,8,9,0,0,0,0,55,0,1,0
4,9,10,0,1,0,0,56,0,1,2
5,0,1,0,0,0,1,58,0,1,0
5,1,2,0,0,0,1,59,0,1,0
5,2,3,0,0,0,1,60,0,1,0
5,3,4,0,0,0,1,61,0,1,0
5,4,5,0,0,0,1,62,0,1,0
5,5,6,0,0,0,1,63,0,1,0
5,6,7,1,0,0,1,64,0,1,1
6,0,1,0,0,0,1,38,0,1,0
6,1,2,0,0,0,1,39,0,1,0
6,2,3,0,0,0,1,40,0,1,0
6,3,4,0,0,0,1,41,0,1,0
6,4,5,0,0,0,1,42,0,1,0
6,5,6,0,0,0,1,43,0,1,0
6,6,7,0,0,0,1,44,0,1,0
6,7,8,0,0,0,1,45,0,1,0
6,8,9,0,0,0,1,46,0,1,0
6,9,10,0,1,0,1,47,0,1,2
7,0,1,0,0,0,1,59,0,1,0
7,1,2,1,0,0,1,60,0,1,1
8,0,1,0,0,0,0,47,0,1,0
8,1,2,0,0,0,0,48,0,1,0
8,2,3,0,0,0,0,49,0,1,0
8,3,4,0,0,0,0,50,0,1,0
8,4,5,0,0,0,0,51,0,1,0
8,5,6,0,0,0,0,52,0,1,0
8,6,7,0,0,0,0,53,0,1,0
8,7,8,0,0,0,0,54,0,0,0
8,8,9,0,0,0,0,55,0,0,0
8,9,10,0,0,0,0,56,0,0,0
8,10,11,0,0,0,0,57,0,0,0
8,11,12,0,0,0,0,58,0,0,0
8,12,13,0,0,0,0,59,0,0,0
8,13,14,0,1,0,0,60,0,0,2
9,0,1,0,0,0,1,54,0,1,0
9,1,2,0,0,0,1,55,0,1,0
9,2,3,0,0,0,1,56,0,1,0
9,3,4,0,0,0,1,57,0,1,0
9,4,5,0,0,0,1,58,0,1,0
9,5,6,0,0,0,1,59,0,0,0
9,6,7,0,0,0,1,60,0,0,0
9,7,8,0,0,0,1,61,0,0,0
9,8,9,0,0,0,1,62,0,0,0
9,9,10,0,0,0,1,63,0,0,0
9,10,11,0,0,0,1,64,0,0,0
9,11,12,0,0,0,1,65,0,0,0
9,12,13,0,0,0,1,66,0,0,0
9,13,14,0,0,0,1,67,0,0,0
9,14,15,0,0,0,1,68,0,0,0
9,15,16,0,1,0,1,69,0,0,2
10,0,1,0,0,1,0,50,0,1,0
10,1,2,0,0,1,0,51,0,1,0
10,2,3,0,0,1,0,52,0,1,0
10,3,4,0,0,1,0,53,0,1,0
10,4,5,1,0,1,0,54,0,1,1
11,0,1,0,0,0,1,36,0,1,0
11,1,2,0,0,0,1,37,0,1,0
11,2,3,0,0,0,1,38,0,1,0
11,3,4,0,0,0,1,39,0,1,0
11,4,5,0,0,0,1,40,0,0,0
11,5,6,0,0,0,1,41,0,0,0
11,6,7,0,0,0,1,42,0,0,0
11,7,8,0,0,0,1,43,0,0,0
11,8,9,0,0,0,1,44,0,0,0
11,9,10,0,0,0,1,45,0,0,0
11,10,11,0,0,0,1,46,0,0,0
11,11,12,0,0,0,1,47,0,0,0
11,12,13,0,0,0,1,48,0,0,0
11,13,14,0,0,0,1,49,0,0,0
11,14,15,0,0,0,1,50,0,0,0
11,15,16,0,0,0,1,51,0,0,0
11,16,17,0,0,0,1,52,0,0,0
11,17,18,0,0,0,1,53,0,0,0
11,18,19,0,0,0,1,54,0,0,0
11,19,20,0,0,0,1,55,0,0,0
11,20,21,0,0,0,1,56,0,0,0
11,21,22,0,0,0,1,57,0,0,0
11,22,23,0,0,0,1,58,0,0,0
11,23,24,0,0,0,1,59,0,0,0
11,24,25,0,0,0,1,60,0,0,0
11,25,26,0,0,0,1,61,0,0,0
11,26,27,0,0,0,1,62,0,0,0
11,27,28,0,0,0,1,63,0,0,0
11,28,29,0,0,0,1,64,0,0,0
11,29,30,0,0,0,1,65,0,0,0
11,30,31,0,0,0,1,66,0,0,0
11,31,32,0,0,0,1,67,0,0,0
11,32,33,0,1,0,1,68,0,0,2
12,0,1,0,0,0,1,45,0,1,0
12,1,2,0,0,0,1,46,0,0,0
12,2,3,0,0,0,1,47,0,0,0
12,3,4,0,0,0,1,48,0,0,0
12,4,5,1,0,0,1,49,0,0,1
13,0,1,0,0,1,1,45,0,0,0
13,1,2,0,0,1,1,46,0,0,0
13,2,3,0,0,1,1,47,0,0,0
13,3,4,0,0,1,1,48,0,0,0
13,4,5,0,0,1,1,49,0,0,0
13,5,6,0,0,1,1,50,0,0,0
13,6,7,0,0,1,1,51,0,0,0
13,7,8,0,0,1,1,52,0,0,0
13,8,9,0,0,1,1,53,0,0,0
13,9,10,0,0,1,1,54,0,0,0
13,10,11,0,0,1,1,55,0,0,0
13,11,12,0,0,1,1,56,0,0,0
13,12,13,0,0,1,1,57,0,0,0
13,13,14,0,0,1,1,58,0,0,0
13,14,15,0,0,1,1,59,0,0,0
13,15,16,0,0,1,1,60,0,0,0
13,16,17,0,0,1,1,61,0,0,0
13,17,18,0,0,1,1,62,0,0,0
13,18,19,0,0,1,1,63,0,0,0
13,19,20,0,0,1,1,64,0,0,0
13,20,21,0,0,1,1,65,0,0,0
13,21,22,0,0,1,1,66,0,0,0
13,22,23,0,0,1,1,67,0,0,0
13,23,24,0,0,1,1,68,0,0,0
13,24,25,0,0,1,1,69,0,0,0
13,25,26,0,0,1,1,70,0,0,0
13,26,27,0,0,1,1,71,0,0,0
13,27,28,0,0,1,1,72,0,0,0
13,28,29,0,0,1,1,73,0,0,0
13,29,30,0,0,1,1,74,0,0,0
13,30,31,0,0,1,1,75,0,0,0
13,31,32,0,0,1,1,76,0,0,0
13,32,33,0,0,1,1,77,0,0,0
13,33,34,0,0,1,1,78,0,0,0
13,34,35,0,1,1,1,79,0,0,2
14,0,1,0,0,0,1,32,0,1,0
14,1,2,0,0,0,1,33,0,1,0
14,2,3,0,0,0,1,34,0,1,0
14,3,4,0,0,0,1,35,0,1,0
14,4,5,0,0,0,1,36,0,1,0
14,5,6,0,0,0,1,37,0,1,0
14,6,7,0,0,0,1,38,0,1,0
14,7,8,0,0,0,1,39,0,1,0
14,8,9,0,0,0,1,40,0,1,0
14,9,10,0,0,0,1,41,0,1,0
14,10,11,0,0,0,1,42,0,1,0
14,11,12,0,0,0,1,43,0,1,0
14,12,13,0,0,0,1,44,0,1,0
14,13,14,0,0,0,1,45,0,1,0
14,14,15,0,0,0,1,46,0,1,0
14,15,16,0,0,0,1,47,0,1,0
14,16,17,0,0,0,1,48,0,1,0
14,17,18,0,0,0,1,49,0,1,0
14,18,19,0,0,0,1,50,0,1,0
