   ID     Year   Female   Pres      GOP   Approve
   1      2014     1      obama      0       4
   1      2016     1      obama      0       5
   1      2018     1      trump      0       2
   1      2020     1      trump      0       1
   2      2014     0      obama      1       2
   2      2016     0      obama      1       1
   2      2018     0      trump      1       4
   2      2020     0      trump      1       3
   3      2014     0      obama      1       2
   3      2016     0      obama      1       2
   3      2018     0      trump      1       4
   3      2020     0      trump      0       1
