State,StateID,Year,MurderPer100K,DeathPenalty,Population,UrbanPct,AvgEducation,SchoolSpendEq,AvgIdeol,CitizenIdeol,EliteIdeol
Alabama,1,1985,9.8000002,1,4021,60,11.60314,89,33.349998,27.877131,38.416672
Alabama,1,1986,10.1,1,4051,60,11.71014,89,34.799999,37.791248,49.75
Alabama,1,1987,9.3000002,1,4084,60,11.81713,89,34.799999,38.516708,34.42857
Alabama,1,1988,9.8999996,1,4102,60,11.92413,89,35.990002,45.029911,40.94643
Alabama,1,1989,10.2,1,4030,60,12.03113,89,35.990002,37.472172,31.73214
Alabama,1,1990,11.6,1,4041,56.799999,12.13812,89,38.119999,33.83577,29.285721
Alabama,1,1991,11.5,1,4089,56.799999,12.24607,89,38.119999,39.809151,33.01786
Alabama,1,1992,11,1,4131,56.799999,12.35498,89,39.299999,39.622028,34.57143
Alabama,1,1993,11.6,1,4181,56.799999,12.46485,89,39.299999,39.01672,55.133331
Alabama,1,1994,11.9,1,4219,56.799999,12.57571,89,40.299999,39.415359,60.25
Alaska,2,1985,9.8000002,0,533,64.300003,13.14187,69,42.380001,38.52906,51.861858
Alaska,2,1986,8.6000004,0,544,64.300003,13.19961,69,42.380001,44.195381,56.450878
Alaska,2,1987,10.1,0,539,64.300003,13.25734,69,42.380001,47.606869,60.937241
Alaska,2,1988,5.6999998,0,542,64.300003,13.31507,69,42.380001,48.03413,63.18869
Alaska,2,1989,8,0,547,64.300003,13.37281,69,42.380001,39.92857,54.861069
Alaska,2,1990,7.5,0,550,61,13.43054,69,42.380001,50.346779,61.29348
Alaska,2,1991,7.4000001,0,570,61,13.48852,69,42.380001,42.252609,49.828159
Alaska,2,1992,7.5,0,587,61,13.54675,69,42.380001,46.582512,54.597309
Alaska,2,1993,9,0,598,61,13.60524,69,42.380001,46.05986,50.895229
Alaska,2,1994,6.3000002,0,606,61,13.66397,69,41.77,32.85638,40.55368
Arizona,3,1985,8,1,3161,83.800003,12.65567,74,31.379999,33.112549,36.875
Arizona,3,1986,9.3000002,1,3280,83.800003,12.73412,74,31.379999,35.244091,39.049999
Arizona,3,1987,7.5,1,3400,83.800003,12.81257,74,31.379999,38.00145,6.900002
Arizona,3,1988,8.5,1,3489,83.800003,12.89102,74,37.41,37.737202,36.380001
Arizona,3,1989,6.6999998,1,3622,83.800003,12.96947,74,37.41,37.225971,48.31834
Arizona,3,1990,7.6999998,1,3665,86.5,13.04791,74,29.809999,38.652012,47.330002
Arizona,3,1991,7.8000002,1,3750,86.5,13.12684,74,29.809999,35.661991,31.42667
Arizona,3,1992,8.1000004,1,3835,86.5,13.20624,74,29.809999,43.210171,33.959999
Arizona,3,1993,8.6000004,1,3945,86.5,13.28612,74,29.809999,39.20747,7.618753
Arizona,3,1994,10.5,1,4075,86.5,13.36648,74,25.32,33.25238,7.5500031
Arkansas,4,1985,7.9000001,1,2360,51.599998,11.52834,83,41.459999,46.153221,66.599998
Arkansas,4,1986,8.1000004,1,2371,51.599998,11.6349,83,46.439999,40.696671,62.400002
Arkansas,4,1987,7.5999999,1,2388,51.599998,11.74147,83,46.439999,50.925331,74
Arkansas,4,1988,8.6999998,1,2395,51.599998,11.84803,83,50.029999,56.596329,80.599998
Arkansas,4,1989,8.3999996,1,2346,51.599998,11.9546,83,50.029999,53.948101,78.75
Arkansas,4,1990,10.3,1,2351,52,12.06116,83,50.029999,41.137539,62.375
Arkansas,4,1991,11.1,1,2372,52,12.16867,83,50.029999,40.27739,63.900002
Arkansas,4,1992,10.8,1,2395,52,12.27715,83,51.200001,45.694469,76
Arkansas,4,1993,10.2,1,2426,52,12.38659,83,51.200001,42.232029,70.75
Arkansas,4,1994,12,1,2453,52,12.497,83,51.200001,40.295879,64.875
California,5,1985,10.5,1,26353,91.300003,12.80108,65,75.650002,50.979271,47.7327
California,5,1986,11.3,1,26977,91.300003,12.86666,65,63.93,51.10915,47.407169
California,5,1987,10.6,1,27653,91.300003,12.93224,65,63.93,53.229679,45.614189
California,5,1988,10.4,1,28314,91.300003,12.99782,65,42,56.605179,48.8797
California,5,1989,10.9,1,28218,91.300003,13.0634,65,42,55.777328,50.86441
California,5,1990,11.9,1,29760,93.699997,13.12898,65,42.18,53.49765,48.844292
California,5,1991,12.7,1,30380,93.699997,13.19489,65,42.18,51.67017,48.406559
California,5,1992,12.7,1,30909,93.699997,13.26113,65,42.400002,52.472,48.919651
California,5,1993,13.1,1,31217,93.699997,13.3277,65,42.400002,53.25452,49.397018
California,5,1994,11.8,1,31431,93.699997,13.39461,65,33.59,48.930889,43.749199
Colorado,6,1985,5.8000002,1,3232,80.599998,13.22339,82,40.540001,39.416199,45.133331
Colorado,6,1986,7,1,3265,80.599998,13.29315,82,44.990002,42.599709,48.01667
Colorado,6,1987,5.8000002,1,3293,80.599998,13.3629,82,44.990002,42.35664,45.375
Colorado,6,1988,5.6999998,1,3301,80.599998,13.43265,82,44.799999,51.123871,52.9375
Colorado,6,1989,4.4000001,1,3276,80.599998,13.50241,82,44.799999,45.977489,46.75
Colorado,6,1990,4.1999998,1,3294,83.800003,13.57216,82,44.799999,44.102509,44.1875
Colorado,6,1991,5.9000001,1,3377,83.800003,13.64228,82,44.799999,46.33654,46.834621
Colorado,6,1992,6.1999998,1,3463,83.800003,13.71275,82,44.799999,47.75729,48.104809
Colorado,6,1993,5.8000002,1,3564,83.800003,13.78359,82,44.799999,42.86269,56.388062
Colorado,6,1994,5.4000001,1,3656,83.800003,13.8548,82,46.5,41.300812,54.141102
Connecticut,7,1985,3.8,1,3175,78.800003,12.80575,72,66.980003,70.426033,71.418877
Connecticut,7,1986,4.5999999,1,3194,78.800003,12.9047,72,76.889999,79.121964,79.204643
Connecticut,7,1987,4.9000001,1,3212,78.800003,13.00364,72,76.889999,77.973579,90.125
Connecticut,7,1988,5.4000001,1,3233,78.800003,13.10259,72,76.889999,81.913742,93.5
Connecticut,7,1989,5.9000001,1,3283,78.800003,13.20153,72,64.830002,72.487221,91.019287
Connecticut,7,1990,5.0999999,1,3287,87,13.30048,72,67.18,66.988129,85.626183
Connecticut,7,1991,5.6999998,1,3291,87,13.40016,72,67.18,61.638069,70.900497
Connecticut,7,1992,5.0999999,1,3279,87,13.5006,72,67.580002,66.204002,73.457512
Connecticut,7,1993,6.3000002,1,3278,87,13.60178,72,67.580002,62.474499,71.138313
Connecticut,7,1994,6.5999999,1,3275,87,13.70373,72,57.869999,55.51228,61.482552
Delaware,8,1985,4.8000002,1,618,70.599998,12.56744,92,52.349998,46.20871,33.767681
Delaware,8,1986,4.9000001,1,626,70.599998,12.65357,92,36.810001,48.824249,33.745121
Delaware,8,1987,5.0999999,1,637,70.599998,12.73971,92,36.810001,59.77681,48.868599
